step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
101,-89.37436534081644,-96.7176631378743,-1676.2147216796875,0.2222684621810913,101,0.49999597668647766,0.0001
137,-100.17059801699361,-96.7176631378743,-281.1847229003906,0.18739527463912964,36,0.49999257922172546,0.0001
213,-98.90226057246764,-96.7176631378743,-949.3331298828125,0.23845930397510529,76,0.499982088804245,0.0001
242,-97.2508885876814,-96.7176631378743,-114.17633819580078,0.08840025216341019,29,0.49997687339782715,0.0001
274,-98.81992313626688,-96.7176631378743,21.508071899414062,0.0036849246826022863,32,0.49997037649154663,0.0001
303,-100.12767980769422,-96.7176631378743,4.615216255187988,0.008558637462556362,29,0.49996376037597656,0.0001
342,-100.10310842427862,-96.7176631378743,-186.14720153808594,0.11752861738204956,39,0.49995383620262146,0.0001
431,-100.3405764148556,-96.7176631378743,-1539.6566162109375,0.18560999631881714,89,0.4999266564846039,0.0001
480,-97.33803231166348,-96.7176631378743,-466.64117431640625,0.1501505970954895,49,0.49990904331207275,0.0001
505,-98.78807265576324,-96.7176631378743,49.19684600830078,0.013155090622603893,25,0.49989932775497437,0.0001
559,-100.21564501116518,-96.7176631378743,-501.5346984863281,0.13282248377799988,54,0.49987664818763733,0.0001
583,-100.12485204078257,-96.7176631378743,-21.527503967285156,0.001979982480406761,24,0.4998658299446106,0.0001
655,-94.34940141161314,-96.7176631378743,-943.8139038085938,0.14395008981227875,72,0.4998306632041931,0.0001
712,-95.27655283326749,-96.7176631378743,-503.6199645996094,0.079896941781044,57,0.499799907207489,0.0001
737,-97.88727344141807,-96.7176631378743,64.2322006225586,0.03222648426890373,25,0.4997856020927429,0.0001
777,-97.02973480887158,-96.7176631378743,-52.109291076660156,0.012374688871204853,40,0.499761700630188,0.0001
814,-97.21278185055962,-96.7176631378743,-63.33243179321289,0.00825792271643877,37,0.499738484621048,0.0001
850,-96.4396363708438,-96.7176631378743,-69.76342010498047,0.02100985497236252,36,0.49971482157707214,0.0001
929,-93.96928251815552,-96.7176631378743,-979.1630859375,0.10249434411525726,79,0.49965938925743103,0.0001
1005,-100.31368050079618,-96.7176631378743,-913.90771484375,0.09453785419464111,76,0.4996013939380646,0.0001
1037,-97.43437297893979,-96.7176631378743,-20.090734481811523,0.0072126188315451145,32,0.4995756149291992,0.0001
1425,37.69049802589416,-96.7176631378743,7624.0283203125,0.11565103381872177,388,0.49919888377189636,0.0001
1693,-96.6515078166376,-96.7176631378743,-2186.525146484375,0.010785304009914398,268,0.49886950850486755,0.0001
1726,-100.11880945094163,-96.7176631378743,-55.463043212890625,0.012155053205788136,33,0.4988250732421875,0.0001
1761,-100.15708749301848,-96.7176631378743,-78.02325439453125,0.01939612627029419,35,0.49877697229385376,0.0001
1788,-97.55513849874842,-96.7176631378743,6.056321144104004,0.0042104413732886314,27,0.49873921275138855,0.0001
2015,-94.15297950790409,-96.7176631378743,-3224.45263671875,0.02601194940507412,227,0.4983992278575897,0.0001
2077,-100.16532284909044,-96.7176631378743,-239.6121826171875,0.06067127734422684,62,0.49829933047294617,0.0001
2170,-91.95231965407947,-96.7176631378743,-1091.8258056640625,0.10946369916200638,93,0.49814388155937195,0.0001
2204,-100.13540837159962,-96.7176631378743,-65.4109878540039,0.010911672376096249,34,0.4980853497982025,0.0001
2254,-96.360421745223,-96.7176631378743,-96.10935974121094,0.012647228315472603,50,0.4979976415634155,0.0001
2609,-86.68864402391773,-96.7176631378743,-2901.30126953125,0.028100090101361275,355,0.4973187744617462,0.0001
2740,-98.58310394348518,-96.7176631378743,-2333.622802734375,0.08644823729991913,131,0.4970434308052063,0.0001
2762,-97.49910720267508,-96.7176631378743,36.13124084472656,0.040548522025346756,22,0.4969958961009979,0.0001
2798,-96.62059046659851,-96.7176631378743,23.137357711791992,0.0069053759798407555,36,0.4969172775745392,0.0001
2865,-100.27365896443371,-96.7176631378743,-486.3550720214844,0.052199531346559525,67,0.4967682659626007,0.0001
2902,-100.16321190770032,-96.7176631378743,23.095897674560547,0.003173711709678173,37,0.4966844916343689,0.0001
2944,-100.16883981660067,-96.7176631378743,-109.58688354492188,0.014397694729268551,42,0.4965881109237671,0.0001
