Updates,Episodes,Time,Reward
0,0,1.1920928955078125e-06,-533.5816893403887
433,43,0.5827662944793701,-994.059841761062
1083,109,1.3435947895050049,-788.1939396705321
1719,174,2.0899574756622314,-761.6773682023478
2424,240,2.9219651222229004,-803.7770543836656
3213,313,3.858368158340454,-854.8039760375716
4011,389,4.837039470672607,-748.1860026061515
4751,454,5.7486255168914795,-272.47894584339275
5361,504,6.567863464355469,-135.86260508021417
5737,535,7.072128772735596,-303.8360209637352
6232,582,7.654563903808594,-113.5907963394305
6637,615,8.127190113067627,-491.84165924473047
7512,691,9.176241874694824,-164.64411712708386
7908,720,9.72923469543457,-311.5494326381316
8407,765,10.406500339508057,-563.2935741936033
8804,801,10.94649863243103,-739.1812017511322
9567,872,11.821444988250732,-875.8496200160296
10485,955,12.92012095451355,-139.77001382825557
10880,992,13.385553121566772,-597.2346675353875
11452,1048,14.060042142868042,-178.8357451793116
11854,1086,14.557324409484863,-1082.911643033232
12666,1156,15.571949243545532,-847.158649206772
13466,1216,16.574958086013794,-967.8212193514688
14328,1299,17.614957094192505,-1512.7465312650625
15796,1427,19.389761447906494,-1051.7784917515933
16654,1512,20.426469802856445,-143.87395414217366
17114,1559,20.95130181312561,-724.3530410178048
17808,1628,21.754080295562744,-801.9732122324137
18810,1718,22.99027371406555,-338.7205517710471
19518,1783,23.90572762489319,-136.99596885640022
19928,1824,24.372840642929077,-230.27375311551359
20549,1879,25.07870888710022,-185.6343410176349
21068,1922,25.70596218109131,-450.96858537043227
21907,2000,26.707555770874023,-137.2832755686733
22286,2031,27.159189224243164,-568.6595799717566
23014,2093,28.01453447341919,-177.53914457405415
23529,2141,28.621855974197388,-738.1800896849567
24217,2203,29.441266775131226,-362.5694580545828
24869,2256,30.225664615631104,-129.68949118255114
25282,2296,30.689000368118286,-157.0226841695128
25754,2338,31.266868352890015,-155.92617148278723
26142,2376,31.705952644348145,-195.2881828850032
26607,2416,32.27667999267578,-711.7317690236362
27594,2514,33.43851065635681,-326.61093292343116
28178,2575,34.08784246444702,-190.29675477951724
28628,2614,34.66496133804321,-651.4009238416062
29582,2701,35.76749849319458,-332.8151224831453
30368,2776,36.69057035446167,-360.6572060394136
30833,2826,37.23596954345703,-381.4745730012406
31530,2892,38.06087350845337,-100.73642652918522
32009,2943,38.626691579818726,-189.84676146696742
32500,2990,39.19393348693848,-237.19102546378537
33162,3054,39.97649073600769,-731.3970027108797
33951,3127,40.93087935447693,-578.7586238203529
34615,3199,41.71269631385803,-136.5128144371857
34987,3243,42.15557241439819,-303.7965264809938
35377,3284,42.62567901611328,-225.1744816630211
36075,3344,43.48085856437683,-1026.0664629691755
37041,3431,44.792006969451904,-501.76417377068066
38155,3540,46.097949266433716,-238.092099860529
39228,3639,47.34094047546387,-184.36664346029022
39841,3697,48.052818059921265,-441.3322716835717
40963,3799,49.35217809677124,-318.6010878204491
41794,3875,50.33150887489319,-1745.0929160645894
42819,3969,51.5804283618927,-365.620505326893
43755,4046,52.8276264667511,-275.29365971312666
44503,4112,53.77409625053406,-109.5040383601507
44959,4153,54.370330572128296,-1087.690428494926
45905,4231,55.567954540252686,-463.99355064832764
46797,4310,56.66237998008728,-109.82825292560969
47389,4363,57.36215543746948,-145.25834000310982
47954,4415,58.10713601112366,-1001.8672787608779
48680,4476,59.04056978225708,-334.6124690402814
49170,4530,59.613529443740845,-144.4635725917976
49806,4592,60.3619658946991,-296.0609793136335
50672,4666,61.42634844779968,-282.6609251586889
51435,4731,62.3742458820343,-175.6407951735122
52171,4792,63.318883180618286,-273.50764985287896
