Updates,Episodes,Time,Reward
0,0,9.5367431640625e-07,-131.34945633274947
332,34,0.4562680721282959,-126.15461604988211
721,77,0.9006345272064209,-169.2554505783262
1137,125,1.3783674240112305,-225.75098332970546
1556,165,1.8985364437103271,-309.9147903147498
1988,210,2.409742832183838,-558.4817796759811
2434,251,2.966198682785034,-522.9415724538387
2912,295,3.5880463123321533,-355.0744520618202
3330,335,4.139448165893555,-289.24173065639917
3861,389,4.788954257965088,-1205.6867693019035
4852,464,6.061352491378784,-715.3511140461379
5559,515,7.080235958099365,-776.860643593549
6372,585,8.11307430267334,-777.1792170136321
7093,651,9.00017762184143,-52.056269936353544
7581,688,9.688383340835571,-249.3839227233948
8113,731,10.437245607376099,-950.8303975217883
8959,807,11.48098349571228,-870.0679670380332
9797,882,12.502994775772095,-1173.170918245733
10820,962,13.751183271408081,-710.2535822785558
11522,1019,14.62621808052063,-774.1961376245882
12525,1105,15.870509147644043,-1040.3087688731025
13498,1178,17.138671159744263,-1177.5182959101155
14432,1249,18.341413021087646,-570.9523790440383
15135,1302,19.22215175628662,-812.540120812682
16051,1368,20.415823936462402,-24.399276042100645
19682,1600,25.528950691223145,-1013.7730521230875
20783,1673,27.035219192504883,-1000.0148686656303
21923,1745,28.689810037612915,-1218.2094799780148
23088,1809,30.406254529953003,-2656.17373235335
25127,1927,33.59743595123291,-1735.0318798409742
26585,2008,35.957619190216064,-905.1060972601479
28264,2110,38.217841386795044,-1154.334317591972
30246,2228,40.8748824596405,-1445.7932910508298
31666,2297,43.068737506866455,-908.5849836719666
33279,2376,46.04398536682129,-1296.3169565716175
34854,2453,48.68500590324402,-615.144543892156
36631,2535,51.48422312736511,-749.6076958008184
37927,2590,53.83948540687561,-868.3377023260807
39910,2664,57.92076849937439,-1002.4975035397154
42981,2786,63.872997760772705,-517.229375367956
44894,2855,67.93843960762024,-430.3216563096844
46557,2908,71.68565535545349,-504.14592426318194
48744,2980,76.41087913513184,-526.4743601458589
50905,3054,81.55744051933289,-261.34839490689814
53674,3146,87.19536209106445,-376.6951071310259
56526,3235,93.56021666526794,-407.8968332696582
59183,3312,99.58821511268616,-385.98245357986673
61519,3380,104.93423104286194,-273.8046890573694
64087,3448,110.97508406639099,-253.13185807846781
67157,3536,117.6034517288208,-214.67599468934014
69840,3608,123.52329874038696,-318.93848801584846
72878,3685,130.28647685050964,-271.4838067270879
76321,3773,137.8097379207611,-223.687694397
78884,3829,144.17735481262207,-204.54870318446012
81950,3894,151.34804606437683,-206.91466535636863
85623,3974,159.52624225616455,-146.4774424252761
88238,4028,165.61866784095764,-182.55798371879627
91368,4084,173.14288139343262,-185.81669581946394
94565,4136,181.10352396965027,-144.90149842479764
97611,4180,188.8276333808899,-128.4360775036986
100787,4227,197.19937920570374,-148.03361417504888
103967,4268,206.14621424674988,-119.3926180335773
107037,4307,215.19620871543884,-111.57446219897095
109676,4333,224.18797636032104,-107.6521076390311
112602,4365,233.84551644325256,-103.8930136001497
115580,4397,243.70917320251465,-76.7809539902692
118287,4424,253.0664336681366,-80.77722002552542
121239,4457,262.19892740249634,-71.6443500762899
123935,4484,271.3896293640137,-74.15495863092056
126500,4511,280.07721757888794,-77.0764673223769
129337,4540,289.53026509284973,-52.11121901598419
132051,4569,298.74626994132996,-65.76008680202366
134845,4599,308.03318190574646,-46.569658869459296
137479,4626,316.81930589675903,-65.45986733534063
140318,4658,325.8006737232208,-61.02947288757416
142905,4684,334.23521518707275,-46.608886369574165
145721,4715,343.6225275993347,-33.37909290735114
148463,4746,352.267751455307,-39.87816446514513
151564,4783,361.57388710975647,-32.902008113599635
154530,4816,370.68024230003357,-26.58525420963436
157462,4851,379.8629915714264,-36.385696890188555
160686,4887,389.26732444763184,-56.32870593980225
163926,4923,398.56604051589966,-44.74024615557402
166690,4954,407.36542105674744,-20.984935473981913
169830,4992,416.8796076774597,-26.10157907675433
173358,5037,426.23247742652893,-28.552903867201827
176193,5068,434.40163397789,-40.55985743834449
179177,5105,442.9192178249359,-53.696624690785164
182262,5144,451.9071087837219,-38.49818674909352
185354,5181,460.7487761974335,-63.50513189945066
187771,5209,468.2276773452759,-31.332822872099076
190611,5242,476.61953258514404,-28.92173252616798
193343,5275,484.4168221950531,-27.675135395187464
196552,5317,493.1378676891327,-19.500731269713203
199622,5357,501.62098574638367,-2.860153762878455
202279,5390,508.7346546649933,-29.639041831256158
204756,5419,515.5089445114136,-16.138017385867634
207560,5456,522.9479532241821,-37.7637156513172
210299,5498,529.9749219417572,-37.77223902768485
212347,5529,535.5022130012512,-76.884785032933
214539,5564,541.7668232917786,-40.84363937319486
217469,5613,549.2343008518219,-17.856514392378216
219881,5647,555.7832581996918,-22.457143172338228
222862,5691,563.3292548656464,-20.060771625624604
225902,5738,570.8240697383881,-18.752121127011176
228596,5781,577.3872263431549,-27.695977338392538
230888,5814,583.8011159896851,-7.484553542294765
233851,5855,591.5350015163422,-12.382788317823913
236940,5902,600.0990173816681,-24.46515548653367
239442,5937,606.7922623157501,-2.1391330838741847
242127,5974,613.8904490470886,-24.945636661964926
245257,6016,622.2587130069733,-52.42506015497302
247230,6043,627.6344835758209,-64.30883086957213
249292,6069,634.0961873531342,-27.619239394651004
252119,6113,641.8866488933563,-2.497107110183544
254582,6146,648.8118879795074,-20.55426825073645
257498,6202,656.0552175045013,-69.72232849477065
259810,6238,661.9628014564514,-32.68866814771063
261847,6272,667.2060077190399,-36.34202504111014
264870,6327,674.4394526481628,-61.86905393004952
266946,6371,679.0687613487244,-43.72716794724015
269551,6417,685.3373239040375,-46.0041634125818
271414,6440,690.5072183609009,-31.807675858564785
274330,6489,698.0267426967621,-49.979861444478935
276576,6519,703.9542415142059,-18.29629718937041
280071,6570,713.0576298236847,-47.58474849686411
282669,6612,719.4887869358063,-12.495070745420254
285184,6649,726.1429324150085,-18.343538807340106
287659,6693,732.422600030899,-16.708990971413577
290620,6737,740.1958730220795,-53.42054528741268
293402,6782,747.35276222229,-73.97240892676523
295876,6820,753.8215179443359,-27.616996086912422
298325,6859,760.3442461490631,-22.27637382895741
300922,6898,767.0812432765961,-66.15797797117486
303264,6939,773.0682327747345,-24.727913336428866
306225,7006,779.8983752727509,-40.93693027623803
308831,7059,786.0247163772583,-57.63913027189826
311042,7106,790.9702134132385,-41.24548168850112
312833,7139,795.3572616577148,-43.90747505696994
315394,7191,801.2885043621063,-60.127100228833186
318026,7242,807.9934039115906,-73.68579033630742
320593,7288,814.4646813869476,-39.90131469143513
322698,7318,820.1203966140747,-61.08724823958376
324798,7354,825.8049976825714,-27.592825014384648
327421,7396,832.1880073547363,-44.59423208091481
329701,7430,838.4756596088409,-42.137639696998335
331971,7472,844.4172875881195,-67.49935228966886
334187,7505,850.4283192157745,-74.58710111044917
336524,7547,856.7224686145782,-42.43787703950527
339088,7587,863.5164246559143,-36.743751938601
342102,7638,871.6644849777222,-49.468171565325996
344541,7676,877.8944249153137,-20.77351314975392
346887,7712,884.2913317680359,-49.23762663824823
349328,7743,891.0512051582336,-83.44917800456594
351623,7783,897.228235244751,-44.74701291296175
353851,7810,903.7911999225616,-38.93376284792371
356468,7854,910.3252279758453,-51.78615844080592
359227,7894,917.4153380393982,0.5235980382252734
362058,7932,925.2833452224731,-33.830626275783054
365355,7984,934.0959820747375,-66.35644963130893
368021,8023,941.1667029857635,-1.212039550332062
370904,8068,948.6232118606567,-24.486544127663798
373859,8113,956.4802486896515,-0.010907253676559137
376449,8152,963.7392320632935,-20.45389641082817
379355,8194,971.4138066768646,-15.830586812142268
382091,8236,978.7355709075928,-21.37556348460968
384441,8275,984.904218673706,-44.18195049662545
387120,8317,991.7912378311157,-18.63392680550688
389726,8361,998.4568436145782,-31.548932830061013
392080,8400,1004.7425692081451,-44.88892949976492
394450,8434,1011.1635727882385,-18.10359242822303
397139,8477,1017.6485571861267,-36.041435332114
399439,8520,1023.4518938064575,-33.49489206440553
402296,8567,1030.4751212596893,-30.144992903308065
404521,8600,1036.3758447170258,-17.212020908923588
407465,8648,1043.8592851161957,-36.00983967242247
409832,8686,1049.520292520523,-74.07296130784542
412210,8724,1055.4552159309387,-14.384870196583197
415109,8759,1063.3789935112,-12.72446681009657
417751,8798,1070.429366827011,-19.069545740450437
420398,8836,1077.7414140701294,-26.34604101789244
423085,8876,1084.5867912769318,-28.052866369832497
425831,8922,1091.4838721752167,-11.864304126997826
428721,8961,1098.9904472827911,-24.298225475252863
431279,8996,1106.0620849132538,-16.049633372863767
433769,9026,1113.027836561203,0.6278786494248934
436984,9075,1121.4098947048187,-23.927413920713846
440004,9129,1128.7046024799347,-35.9364433116726
442851,9178,1135.9072425365448,-42.05543774243141
445585,9227,1142.5539391040802,-29.046921347750207
448444,9273,1149.58261013031,-13.957186090116704
451235,9317,1156.3773345947266,-36.06024039510647
453631,9347,1162.9488797187805,-21.275380625244114
455831,9379,1168.8725156784058,-21.572806440535608
458425,9418,1175.6914339065552,-27.563852729420073
461356,9461,1183.503261566162,-6.857069347156623
464068,9500,1190.755764722824,-16.37165533226714
467013,9541,1198.4803791046143,17.163533291298528
469968,9586,1206.299638748169,7.87956352707841
472908,9627,1213.9723675251007,-34.81864423916356
475714,9668,1221.1094751358032,-4.265531468952372
477953,9696,1227.6983222961426,-26.680399066406448
480850,9735,1235.4982335567474,-24.35919417639117
483214,9768,1241.584021806717,4.359570329512179
485815,9802,1248.6526019573212,-19.17192766253655
488734,9839,1256.954416513443,21.424416277584488
491971,9884,1265.3842828273773,-1.1062923702540357
494883,9926,1273.0142152309418,-10.466554965421926
497874,9963,1280.6693997383118,9.500926913303315
500005,9996,1288.443558216095,-11.05964671678116
