Updates,Episodes,Time,Reward
0,0,4.76837158203125e-07,-111.49774158450961
411,41,0.4762270450592041,-209.53669252781475
828,84,0.8907170295715332,-261.3413821713634
1263,129,1.2922618389129639,-352.478532365633
1990,201,1.9759521484375,-362.4701453989027
2863,288,2.792220115661621,-679.9170493260602
3700,373,3.582484483718872,-1033.5575150280922
5663,557,5.581660985946655,-869.2552999351168
6880,659,6.947419166564941,-882.5286807493228
8031,764,8.177995443344116,-731.890606939677
8733,826,8.86139988899231,-1004.8726633981407
9719,915,9.800260066986084,-865.3104238396891
10636,993,10.72781252861023,-1331.6542075032226
11650,1071,11.821425199508667,-590.0874134267831
12434,1126,12.68570852279663,-819.3781164420183
13520,1208,13.810436964035034,-1624.933599901509
15059,1320,15.4321870803833,-819.1041567780896
15962,1389,16.37764549255371,-1024.5217856282693
17249,1475,17.74451518058777,-1238.1753841860564
18589,1567,19.28643798828125,-2157.3432300225604
21528,1764,22.539321899414062,-1176.0851422408316
23526,1877,24.80122685432434,-1794.9105735411977
26589,2055,28.44877529144287,-1426.802885416324
30257,2249,33.05816388130188,-1174.360457341465
33256,2372,37.728312969207764,-706.8516333934284
36002,2492,41.984219789505005,-1804.5996606062085
39312,2637,46.50819683074951,-993.2227431820635
42180,2752,50.771408557891846,-877.7940179258421
45521,2884,55.720409870147705,-1000.6977433588751
48810,3010,60.325050592422485,-1125.669086426388
51483,3081,64.89173746109009,-1117.3310199782813
55308,3213,70.58223748207092,-845.2568581534146
58881,3320,76.21081781387329,-970.6249125375589
61932,3396,81.63695812225342,-359.37651116106565
65276,3499,86.87740302085876,-374.50106437766584
68755,3607,92.33846521377563,-396.48424836926284
71894,3684,97.80969977378845,-403.6579687702443
74850,3755,103.15532422065735,-473.19118235840006
78044,3832,108.86859011650085,-267.2178376635033
81760,3917,115.6393575668335,-307.8282745418122
84875,3987,121.68379211425781,-309.9823442781729
88055,4047,127.73987078666687,-403.66495484321496
91600,4108,135.03570675849915,-245.5809709090782
94868,4162,141.9649305343628,-200.62699804984013
98409,4213,149.4913191795349,-161.63042310109603
101135,4254,155.90355777740479,-240.28016234009547
104308,4308,162.83195805549622,-265.2345759524634
107708,4360,170.15181493759155,-253.25275345021706
111229,4415,177.6815299987793,-185.7964111405636
114300,4457,184.9028377532959,-201.27280866450624
117603,4502,192.2292926311493,-250.0294208308557
120768,4543,199.92041873931885,-159.5665028339827
123582,4574,206.92997407913208,-108.18699636025414
126842,4613,214.61133480072021,-131.98058722003393
129725,4643,222.35366582870483,-139.67217854182348
133040,4681,230.63466835021973,-160.41137785441447
136110,4716,238.44842982292175,-109.31589285251214
139013,4745,246.63413906097412,-126.45900152063072
142074,4775,254.7176215648651,-86.772192299446
145102,4807,263.15757036209106,-93.63442584000367
147970,4836,271.30914330482483,-106.25886550352587
150733,4864,279.08526945114136,-88.8178396816884
153476,4891,287.20019125938416,-75.43274155612856
156175,4918,295.21806049346924,-99.25792039186756
159078,4947,303.0838689804077,-65.72865579139953
161769,4975,310.4418830871582,-62.52106305072512
164573,5003,317.8959000110626,-75.67618365172436
167506,5033,325.9786536693573,-45.42327149381281
170404,5063,333.5764329433441,-46.518851279387725
173429,5093,341.6029872894287,-43.197496869771626
176312,5123,349.49641823768616,-35.061077796574175
179136,5151,357.1617157459259,-43.749533883377296
181774,5178,364.5824148654938,-28.31841973152213
184653,5208,372.3410096168518,-41.03430754032849
187125,5233,379.61396527290344,-48.96230726859954
189956,5260,387.1608519554138,-39.26375666217218
192575,5288,394.4954786300659,-23.046964927833322
195553,5318,402.2472276687622,-26.283526263541027
198529,5349,410.2228055000305,-32.31543129865061
201588,5380,418.47650718688965,-25.115414524685832
204518,5409,426.45377016067505,-9.525775559336532
207549,5440,434.20955419540405,-40.43579099830812
210455,5469,442.1532518863678,-32.504355195269895
213287,5499,449.7788188457489,-25.32270445687258
216334,5529,457.5263340473175,-28.15605738106395
219133,5560,464.68975377082825,-42.47711187455812
221894,5590,471.5031929016113,-13.207205445097964
224759,5620,478.886825799942,-35.016646862673966
227664,5653,485.83830761909485,-26.493763563005416
230394,5683,493.0520808696747,-42.04609080969856
233136,5711,500.3364052772522,-21.573115375304116
236205,5748,507.79322028160095,-3.582515888593157
239215,5782,514.5628275871277,-9.114821653646024
242271,5822,521.2206840515137,-14.475548885430758
245080,5852,528.2044184207916,-21.68489856808506
248013,5888,534.7624349594116,-29.603732577777038
250970,5926,541.4984178543091,-54.96318470999414
253910,5973,548.1374990940094,-42.54545027082563
256233,6005,553.2744014263153,-29.502085976087415
259128,6046,559.934504032135,-41.322811946878076
262350,6088,567.5974125862122,-44.249737466138285
265512,6129,574.5654139518738,6.543191966612492
