time,step,iterations,episodes,training reward,episode steps,loss policy,loss critic,sigma,lr_policy
0.5344560146331787,100,1,0,,,1.772580862045288,0.00019906355009879917,0.5,0.0001
1.5489616394042969,113,2,1,0.0,113,-0.38829123973846436,0.006724416743963957,0.5,0.0001
1.6466989517211914,196,3,2,0.08259248733520508,83,6.672451019287109,0.0018699272768571973,0.5,0.0001
1.8022825717926025,296,4,2,,,-0.3667925298213959,8.959369006333873e-05,0.5,0.0001
1.8970293998718262,360,5,3,0.0,164,-2.7473278045654297,0.0005893392371945083,0.5,0.0001
2.0585060119628906,460,6,3,,,0.5324372053146362,1.1455114872660488e-05,0.5,0.0001
2.145273208618164,507,7,4,0.0,147,-3.810328483581543,0.0007962229428812861,0.5,0.0001
2.3058440685272217,607,8,4,,,0.7224301099777222,0.000388248183298856,0.5,0.0001
2.375657081604004,649,9,5,0.0,142,-2.1714677810668945,0.0004223717260174453,0.5,0.0001
2.5222647190093994,749,10,5,,,1.0128470659255981,0.00013737923291046172,0.5,0.0001
2.628979206085205,823,11,6,0.0,174,-1.116010069847107,0.0001466993271606043,0.5,0.0001
2.7795767784118652,923,12,6,,,-0.2690834403038025,6.956563993298914e-06,0.5,0.0001
2.8942692279815674,985,13,7,0.0,162,-1.374448537826538,6.138195749372244e-05,0.5,0.0001
3.0463693141937256,1085,14,8,0.0,100,-1.4955393075942993,4.323635948821902e-05,0.5,0.0001
3.1859962940216064,1182,15,9,0.0,97,-1.0746468305587769,4.0178929339163005e-05,0.5,0.0001
3.3206357955932617,1268,16,10,0.18812748789787292,86,20.01654624938965,0.023325515910983086,0.5,0.0001
3.4472978115081787,1350,17,11,0.0,82,-1.7261990308761597,4.743887620861642e-05,0.5,0.0001
3.6063780784606934,1450,18,11,,,-0.42380839586257935,0.00013856588338967413,0.5,0.0001
3.637800455093384,1467,19,12,0.0,117,-0.4410373568534851,2.4576287614763714e-05,0.5,0.0001
3.7639691829681396,1550,20,13,0.2991761863231659,83,24.943641662597656,0.05812621861696243,0.5,0.0001
3.889143228530884,1631,21,14,0.0,81,-1.154640793800354,0.00015792327758390456,0.5,0.0001
4.036255598068237,1727,22,15,0.0,96,-1.1759376525878906,0.00024065047909971327,0.5,0.0001
4.186852693557739,1827,23,15,,,-1.5848139524459839,0.000295003381324932,0.5,0.0001
4.338447093963623,1927,24,15,,,0.16154201328754425,0.0001705176691757515,0.5,0.0001
4.431198835372925,1988,25,16,0.0,261,-4.8066020011901855,0.004051419906318188,0.5,0.0001
4.565839052200317,2073,26,17,0.0,85,-1.6524803638458252,0.0008217477006837726,0.5,0.0001
4.72241997718811,2173,27,17,,,-1.7076258659362793,0.0006689953152090311,0.5,0.0001
4.779268026351929,2209,28,18,0.0,136,-0.2094792127609253,0.0003163795918226242,0.5,0.0001
4.919891119003296,2303,29,19,0.0,94,-1.608735203742981,0.0005016190116293728,0.5,0.0001
