step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
39,-100.15825314666108,-97.77308534095937,-729.3496704101562,0.8417029976844788,39,0.5,0.0001
289,5.547079308907996,-97.77308534095937,-5448.603515625,0.03833066299557686,250,0.49999967217445374,0.0001
341,-100.19834577500296,-97.77308534095937,-269.91558837890625,0.045776695013046265,52,0.4999995529651642,0.0001
410,-100.30189698934555,-97.77308534095937,-140.8398895263672,0.015486718155443668,69,0.49999934434890747,0.0001
444,-98.41066334125935,-97.77308534095937,81.5982666015625,0.0517406240105629,34,0.4999992251396179,0.0001
694,-0.8437311960442457,-97.77308534095937,2717.6240234375,0.011958182789385319,250,0.4999980926513672,0.0001
943,21.344150685663408,-97.77308534095937,3744.179931640625,0.02527410350739956,249,0.49999648332595825,0.0001
982,-95.98274270549882,-97.77308534095937,-334.7961730957031,0.6560661792755127,39,0.4999961853027344,0.0001
1009,-97.94725602387916,-97.77308534095937,-376.82354736328125,1.0076940059661865,27,0.49999597668647766,0.0001
1031,-100.09436305755662,-97.77308534095937,-238.0970916748047,0.9435538053512573,22,0.49999579787254333,0.0001
1063,-97.6695407283114,-97.77308534095937,44.82074737548828,0.02533106692135334,32,0.49999552965164185,0.0001
1313,6.218057942540327,-97.77308534095937,3033.3134765625,0.018564458936452866,250,0.4999932050704956,0.0001
1426,-92.96867858101086,-97.77308534095937,-3357.231689453125,0.3477523624897003,113,0.4999919831752777,0.0001
1676,-0.943602475701482,-97.77308534095937,3619.0927734375,0.025660831481218338,250,0.4999889135360718,0.0001
1925,11.418581437745672,-97.77308534095937,3319.906982421875,0.01818518340587616,249,0.49998536705970764,0.0001
2175,29.73567476619246,-97.77308534095937,3809.080322265625,0.021538475528359413,250,0.4999813139438629,0.0001
2272,-88.95111750348588,-97.77308534095937,-2219.054443359375,0.3268350660800934,97,0.4999796152114868,0.0001
2306,-100.17679774278076,-97.77308534095937,139.54518127441406,0.05418922379612923,34,0.49997901916503906,0.0001
2327,-100.08157012186712,-97.77308534095937,-84.37390899658203,0.6784623861312866,21,0.499978631734848,0.0001
2373,-97.01692828402156,-97.77308534095937,-67.72156524658203,0.010686048306524754,46,0.4999777674674988,0.0001
2430,-100.22978425618203,-97.77308534095937,-72.02063751220703,0.003974156454205513,57,0.4999766945838928,0.0001
2647,-53.64209418291284,-97.77308534095937,-6957.111328125,0.14355537295341492,217,0.4999723434448242,0.0001
2698,-98.95340378959372,-97.77308534095937,-73.66893005371094,0.004849525168538094,51,0.49997127056121826,0.0001
2731,-100.13955759783858,-97.77308534095937,-364.12359619140625,0.4650903642177582,33,0.49997055530548096,0.0001
2981,-0.9470900893429643,-97.77308534095937,546.3487548828125,0.001498321071267128,250,0.4999649226665497,0.0001
3230,-0.9746794057300576,-97.77308534095937,2259.70751953125,0.007641073781996965,249,0.4999588131904602,0.0001
3480,5.112833395825874,-97.77308534095937,1687.92822265625,0.00592407351359725,250,0.49995219707489014,0.0001
3729,6.846299904253101,-97.77308534095937,2294.438232421875,0.012523515149950981,249,0.49994510412216187,0.0001
3847,-89.06445749539489,-97.77308534095937,-2693.607421875,0.23057447373867035,118,0.4999415874481201,0.0001
3886,-96.8523826346318,-97.77308534095937,-344.26324462890625,0.39512455463409424,39,0.4999403953552246,0.0001
4136,10.052773043861635,-97.77308534095937,3802.947021484375,0.043155718594789505,250,0.4999324679374695,0.0001
4385,26.598529323277035,-97.77308534095937,1034.3287353515625,0.0025418479926884174,249,0.49992409348487854,0.0001
4430,-100.1881108944417,-97.77308534095937,-710.4892578125,0.3257746398448944,45,0.4999225437641144,0.0001
4460,-96.76129972934723,-97.77308534095937,-245.23416137695312,0.40647459030151367,30,0.4999214708805084,0.0001
4490,-96.40803726098602,-97.77308534095937,-272.88360595703125,0.3806326389312744,30,0.49992042779922485,0.0001
4516,-97.3866257139889,-97.77308534095937,-165.52481079101562,0.4059986174106598,26,0.49991950392723083,0.0001
4766,18.152800941189525,-97.77308534095937,4986.27294921875,0.035800956189632416,250,0.4999103248119354,0.0001
4831,-97.93469789095252,-97.77308534095937,-1087.636962890625,0.246254101395607,65,0.49990788102149963,0.0001
5081,15.722479598050086,-44.43481322019102,4036.2998046875,0.02941874973475933,250,0.4998980760574341,0.0001
5331,10.765075216459081,-44.43481322019102,1432.3975830078125,0.00317946239374578,250,0.4998878240585327,0.0001
5580,15.25005959905252,-44.43481322019102,785.55029296875,0.0036560262087732553,249,0.49987709522247314,0.0001
5830,-0.28565556315516005,-44.43481322019102,5175.388671875,0.0634971559047699,250,0.4998658299446106,0.0001
6079,48.14193330702551,-44.43481322019102,1871.9544677734375,0.012591913342475891,249,0.49985411763191223,0.0001
6329,13.946962473948588,-44.43481322019102,2312.51318359375,0.008359341882169247,250,0.4998418986797333,0.0001
6564,-86.69839538152883,-44.43481322019102,-5998.6025390625,0.08248607814311981,235,0.4998299181461334,0.0001
6744,-80.70381419429032,-44.43481322019102,-4558.8623046875,0.11074317991733551,180,0.4998204708099365,0.0001
6783,-100.13941679726122,-44.43481322019102,-264.222412109375,0.18067580461502075,39,0.4998183846473694,0.0001
7033,-1.0271842187612492,-44.43481322019102,8051.595703125,0.07645875960588455,250,0.4998047649860382,0.0001
7105,-94.8643260463432,-44.43481322019102,-1262.4967041015625,0.21567678451538086,72,0.49980074167251587,0.0001
7355,14.969473755857507,-44.43481322019102,2916.50244140625,0.009172479622066021,250,0.49978646636009216,0.0001
7604,12.129139098389714,-44.43481322019102,577.9112548828125,0.0015526722418144345,249,0.49977177381515503,0.0001
7627,-97.65132219323277,-44.43481322019102,-141.3987579345703,0.23531661927700043,23,0.4997704029083252,0.0001
7877,-0.9746392726701743,-44.43481322019102,5337.75,0.045197125524282455,250,0.4997550845146179,0.0001
7943,-93.56844834364892,-44.43481322019102,-905.5281982421875,0.1961081326007843,66,0.4997509717941284,0.0001
7986,-100.20136921023936,-44.43481322019102,-427.998779296875,0.13487893342971802,43,0.49974825978279114,0.0001
8032,-100.22393281169934,-44.43481322019102,-89.32943725585938,0.007705782074481249,46,0.49974536895751953,0.0001
8244,-90.3811343572088,-44.43481322019102,-5150.7685546875,0.08084968477487564,212,0.49973174929618835,0.0001
8494,22.53183059220237,-44.43481322019102,3515.94580078125,0.015257678925991058,250,0.49971523880958557,0.0001
8705,-66.33375619123763,-44.43481322019102,-5004.9375,0.08299235254526138,211,0.4997009336948395,0.0001
8792,-100.3906077278516,-44.43481322019102,-500.1025695800781,0.014013603329658508,87,0.49969491362571716,0.0001
8841,-96.98488312996051,-44.43481322019102,-197.5623016357422,0.03148677945137024,49,0.49969151616096497,0.0001
8874,-97.5772065776182,-44.43481322019102,-216.3815155029297,0.1644831895828247,33,0.4996891915798187,0.0001
8908,-97.55824535273132,-44.43481322019102,-7.087092876434326,0.00046165534877218306,34,0.4996868073940277,0.0001
8943,-96.24913119204575,-44.43481322019102,-230.83287048339844,0.14726115763187408,35,0.49968433380126953,0.0001
8980,-97.14785992440011,-44.43481322019102,-40.623130798339844,0.0037023716140538454,37,0.4996817409992218,0.0001
9230,42.95622728182062,-44.43481322019102,4389.4208984375,0.02837597392499447,250,0.499663770198822,0.0001
9313,-86.3939010154827,-44.43481322019102,-1105.9371337890625,0.13526904582977295,83,0.49965769052505493,0.0001
9358,-100.18167028808966,-44.43481322019102,-302.68328857421875,0.08690442889928818,45,0.4996543824672699,0.0001
9395,-100.12558417658147,-44.43481322019102,-148.331298828125,0.07352684438228607,37,0.49965164065361023,0.0001
9645,11.166382758136024,-44.43481322019102,4061.413818359375,0.019417643547058105,250,0.499632865190506,0.0001
9894,11.73083290780778,-44.43481322019102,1956.2742919921875,0.006246691569685936,249,0.4996136724948883,0.0001
9934,-100.17621548846364,-44.43481322019102,18.03864860534668,0.004436406306922436,40,0.4996105432510376,0.0001
9992,-95.55622365108866,-44.43481322019102,-353.8472900390625,0.10648554563522339,58,0.4996059834957123,0.0001
10242,1.607953899653694,-24.295071798175883,2134.351318359375,0.005669353064149618,250,0.4995860159397125,0.0001
10278,-96.56913303633428,-24.295071798175883,-164.61810302734375,0.1070101335644722,36,0.49958309531211853,0.0001
10528,-1.033533844535441,-24.295071798175883,5579.087890625,0.05240638181567192,250,0.4995625913143158,0.0001
10777,21.994836521878312,-24.295071798175883,2607.3974609375,0.01197719480842352,249,0.49954167008399963,0.0001
10815,-100.15916255046614,-24.295071798175883,22.86748504638672,0.004718901123851538,38,0.4995384216308594,0.0001
10910,-100.15567186380213,-24.295071798175883,-659.0606689453125,0.028168348595499992,95,0.49953028559684753,0.0001
10947,-95.4571189290873,-24.295071798175883,-220.4972381591797,0.09415947645902634,37,0.49952709674835205,0.0001
11197,5.034302877623304,-24.295071798175883,2101.33154296875,0.010901480913162231,250,0.49950525164604187,0.0001
11446,30.32791934259876,-24.295071798175883,3394.37890625,0.020786166191101074,249,0.49948301911354065,0.0001
11559,-80.11321658786619,-24.295071798175883,-1890.194580078125,0.09788145869970322,113,0.4994727671146393,0.0001
11594,-100.13882140163332,-24.295071798175883,-120.11808776855469,0.039889659732580185,35,0.4994695484638214,0.0001
11844,11.582480704972113,-24.295071798175883,2219.618896484375,0.010850447230041027,250,0.49944645166397095,0.0001
12037,-54.20358748635772,-24.295071798175883,-3038.880126953125,0.06400150805711746,193,0.49942827224731445,0.0001
12132,-97.58058841362163,-24.295071798175883,-1367.5518798828125,0.07847455143928528,95,0.4994192123413086,0.0001
12169,-96.68671661807457,-24.295071798175883,-128.65032958984375,0.05699305981397629,37,0.49941566586494446,0.0001
12208,-96.86519036995014,-24.295071798175883,-79.91313934326172,0.01379010546952486,39,0.4994119107723236,0.0001
12458,6.377629671927934,-24.295071798175883,5153.0048828125,0.042281970381736755,250,0.49938759207725525,0.0001
12495,-100.17215890816624,-24.295071798175883,-304.194091796875,0.10344935208559036,37,0.49938395619392395,0.0001
12745,3.1259467830223002,-24.295071798175883,3629.328125,0.021101728081703186,250,0.4993590712547302,0.0001
12994,52.05904803818294,-24.295071798175883,2834.0576171875,0.01773068681359291,249,0.49933379888534546,0.0001
13244,22.9576238547279,-24.295071798175883,2973.09423828125,0.021085526794195175,250,0.49930793046951294,0.0001
13493,37.105030241540135,-24.295071798175883,3907.643310546875,0.02874639444053173,249,0.4992816746234894,0.0001
13538,-100.00298467044195,-24.295071798175883,-43.26944351196289,0.00526291923597455,45,0.49927687644958496,0.0001
13599,-100.26495622034417,-24.295071798175883,-420.5872497558594,0.031931787729263306,61,0.49927034974098206,0.0001
13635,-99.36864364338544,-24.295071798175883,40.663429260253906,0.011834150180220604,36,0.49926650524139404,0.0001
13885,17.670615843587257,-24.295071798175883,328.6094970703125,0.005693410523235798,250,0.49923935532569885,0.0001
13919,-100.13899957423564,-24.295071798175883,-96.63521575927734,0.0286973025649786,34,0.4992356300354004,0.0001
13965,-95.86397570153349,-24.295071798175883,-229.79481506347656,0.06335090100765228,46,0.49923059344291687,0.0001
13998,-97.10311154392548,-24.295071798175883,-35.4656982421875,0.00412381999194622,33,0.4992269277572632,0.0001
14204,-95.75685470504004,-24.295071798175883,-1426.8826904296875,0.02643715776503086,206,0.49920403957366943,0.0001
14249,-96.72202665716395,-24.295071798175883,-65.32201385498047,0.008125335909426212,45,0.4991990029811859,0.0001
14280,-97.17684882844333,-24.295071798175883,-48.40550994873047,0.015198667533695698,31,0.49919551610946655,0.0001
14308,-100.13358827229968,-24.295071798175883,52.83462142944336,0.05125783756375313,28,0.49919235706329346,0.0001
14341,-96.98174622713123,-24.295071798175883,-109.33235168457031,0.03433823212981224,33,0.499188631772995,0.0001
14591,24.021875521295442,-24.295071798175883,2734.8515625,0.010648363269865513,250,0.49916011095046997,0.0001
14840,34.3268339728329,-24.295071798175883,2885.20849609375,0.01592870242893696,249,0.4991312026977539,0.0001
15090,8.59644202862546,28.616900257258862,4977.666015625,0.039918139576911926,250,0.4991017282009125,0.0001
15340,28.983520577054378,28.616900257258862,5297.06005859375,0.04080716893076897,250,0.49907171726226807,0.0001
15589,36.711678028652386,28.616900257258862,2584.876953125,0.01918359100818634,249,0.4990413784980774,0.0001
15639,-94.50866193783077,28.616900257258862,-246.96092224121094,0.055384453386068344,50,0.49903520941734314,0.0001
15705,-99.91354472026433,28.616900257258862,-155.80030822753906,0.007999511435627937,66,0.4990270733833313,0.0001
15744,-98.34501355988323,28.616900257258862,-125.61908721923828,0.03807118162512779,39,0.4990222454071045,0.0001
15994,17.332295141750365,28.616900257258862,3305.993896484375,0.014334100298583508,250,0.4989909529685974,0.0001
16243,62.12547408886894,28.616900257258862,6364.439453125,0.0470644049346447,249,0.49895933270454407,0.0001
16493,16.815139140548126,28.616900257258862,5254.7890625,0.04694086313247681,250,0.4989270865917206,0.0001
16742,42.76635484261169,28.616900257258862,5087.23046875,0.0382416807115078,249,0.49889445304870605,0.0001
16802,-96.1908929417259,28.616900257258862,-315.69085693359375,0.05152863264083862,60,0.4988865256309509,0.0001
16839,-97.76541812219511,28.616900257258862,-22.616260528564453,0.012998174875974655,37,0.49888163805007935,0.0001
17089,6.2930128497664555,28.616900257258862,4728.7861328125,0.04546692222356796,250,0.49884819984436035,0.0001
17338,7.945205184812039,28.616900257258862,3987.0087890625,0.022019319236278534,249,0.4988144338130951,0.0001
17380,-98.84255283448874,28.616900257258862,-193.14390563964844,0.02864454872906208,42,0.49880868196487427,0.0001
17423,-100.19858799938811,28.616900257258862,-82.19428253173828,0.008230109699070454,43,0.4988027811050415,0.0001
17460,-97.29922846540558,28.616900257258862,-90.18926239013672,0.018082119524478912,37,0.4987977147102356,0.0001
17482,-99.1647760119813,28.616900257258862,14.493915557861328,0.008872847072780132,22,0.49879467487335205,0.0001
17732,27.535629498138917,28.616900257258862,4966.1689453125,0.033501122146844864,250,0.4987599849700928,0.0001
17981,9.451216179164476,28.616900257258862,961.634765625,0.0031570675782859325,249,0.49872496724128723,0.0001
18231,46.00477918509705,28.616900257258862,2711.4697265625,0.015560886822640896,250,0.49868929386138916,0.0001
18480,6.59172675973241,28.616900257258862,3555.65087890625,0.020718775689601898,249,0.4986532926559448,0.0001
18730,2.042565132260279,28.616900257258862,5735.8603515625,0.05499470233917236,250,0.49861663579940796,0.0001
18857,-90.52411815894084,28.616900257258862,-1908.0777587890625,0.0401490218937397,127,0.4985978305339813,0.0001
19107,2.9929355162475986,28.616900257258862,5053.51513671875,0.0511714406311512,250,0.49856045842170715,0.0001
19356,18.088914812909934,28.616900257258862,4209.42724609375,0.035153672099113464,249,0.4985227584838867,0.0001
19403,-99.98644591576885,28.616900257258862,-155.85411071777344,0.027896258980035782,47,0.4985155761241913,0.0001
