step,training reward,validation reward,loss policy,loss critic,epsisode length
43,-98.03623102855636,-100.02709141485343,21.504318237304688,0.03385499119758606,43
73,-100.11262379585241,-100.02709141485343,103.57447814941406,0.16962949931621552,30
132,-94.13089064403903,-100.02709141485343,-850.26904296875,0.19004811346530914,59
158,-97.81260658412066,-100.02709141485343,-96.99568176269531,0.15609265863895416,26
184,-97.82851816124412,-100.02709141485343,-79.03076934814453,0.1474214792251587,26
218,-100.11259406909721,-100.02709141485343,-123.31761932373047,0.10111100226640701,34
454,-82.8521449402433,-100.02709141485343,-4313.099609375,0.0402383878827095,236
490,-100.1527829050683,-100.02709141485343,144.6339874267578,0.0781915932893753,36
538,-98.70721432783466,-100.02709141485343,-1.0301347970962524,0.04023132473230362,48
566,-97.54138276411686,-100.02709141485343,-174.00759887695312,0.1291126012802124,28
646,-94.84280429596947,-100.02709141485343,-605.0369262695312,0.09253838658332825,80
692,-97.84396927512717,-100.02709141485343,-64.69709014892578,0.02844250202178955,46
946,-95.96685640444275,-100.02709141485343,3814.0224609375,0.13603422045707703,254
969,-97.91969382099342,-100.02709141485343,-85.44319152832031,0.07807078212499619,23
1076,-100.17902478255564,-100.02709141485343,-1365.17529296875,0.06101425737142563,107
1129,-95.79039663469302,-100.02709141485343,-213.85299682617188,0.06632846593856812,53
1171,-100.15539176632592,-100.02709141485343,18.79429817199707,0.036378636956214905,42
1205,-97.10910949654499,-100.02709141485343,-109.26716613769531,0.07882606983184814,34
1234,-97.45426535721344,-100.02709141485343,-104.73126983642578,0.05204932019114494,29
1507,-97.37680364161861,-100.02709141485343,7161.42529296875,0.1291498839855194,273
1546,-100.18907927513646,-100.02709141485343,224.65631103515625,0.04861333593726158,39
1572,-96.93426574167097,-100.02709141485343,-49.18997573852539,0.03688020259141922,26
1806,-92.7412674056527,-100.02709141485343,1840.3182373046875,0.09708181768655777,234
1959,-89.0573124378916,-100.02709141485343,-2817.057861328125,0.0620204322040081,153
2012,-100.20909718042094,-100.02709141485343,18.14362144470215,0.0324002243578434,53
2436,-61.94033672584919,-100.02709141485343,-4946.865234375,0.022948332130908966,424
2475,-100.12876656238222,-100.02709141485343,-50.383087158203125,0.012157527729868889,39
2524,-96.59148633037694,-100.02709141485343,-331.2432861328125,0.06288375705480576,49
2556,-99.45971446744625,-100.02709141485343,-28.365060806274414,0.012362767942249775,32
2611,-100.24217053555185,-100.02709141485343,-234.95623779296875,0.01934860646724701,55
2653,-100.16986311853816,-100.02709141485343,-111.10540771484375,0.013683033175766468,42
2799,-100.581935998468,-100.02709141485343,-1326.431640625,0.022417977452278137,146
2838,-97.0958476596279,-100.02709141485343,-178.05496215820312,0.07502418756484985,39
3091,-100.13330585292732,-100.02709141485343,-4087.0634765625,0.021297452971339226,253
3353,-95.90261616748273,-100.02709141485343,-560.893798828125,0.03183608874678612,262
3378,-100.10355003009317,-100.02709141485343,13.726256370544434,0.006909028626978397,25
3453,-93.35519063926768,-100.02709141485343,-740.2268676757812,0.058466799557209015,75
3528,-100.28450614564645,-100.02709141485343,-328.9532165527344,0.021144669502973557,75
3766,-88.17008239005372,-100.02709141485343,-3043.4326171875,0.019600411877036095,238
3944,-94.00229610381211,-100.02709141485343,-1770.9071044921875,0.0300112534314394,178
3986,-96.4624107106356,-100.02709141485343,-67.88794708251953,0.01943674311041832,42
4244,-96.49831159474525,-100.02709141485343,7810.0341796875,0.175181046128273,258
4269,-97.60799224296352,-100.02709141485343,-20.974193572998047,0.007772877812385559,25
4556,-40.76561442936145,-100.02709141485343,-1728.61962890625,0.01091319601982832,287
4758,-88.48277755942854,-100.02709141485343,-3203.353759765625,0.021490415558218956,202
4813,-100.17152854131018,-100.02709141485343,-65.50043487548828,0.02450454607605934,55
4844,-97.94379264637246,-100.02709141485343,-109.65985107421875,0.046275027096271515,31
4888,-96.86759889329551,-100.02709141485343,-125.76029205322266,0.03546927869319916,44
4964,-100.23148869492616,-100.02709141485343,-101.81568908691406,0.03134584054350853,76
5093,-100.3936308531313,-94.5258777503708,-293.1220397949219,0.015402235090732574,129
5174,-92.27548895341897,-94.5258777503708,-672.5357055664062,0.06321193277835846,81
5225,-100.19183578333468,-94.5258777503708,66.77233123779297,0.032456111162900925,51
5271,-96.97647924884222,-94.5258777503708,-94.83882141113281,0.016255555674433708,46
5410,-100.48503373430867,-94.5258777503708,861.265625,0.03591763600707054,139
5455,-96.88187691644998,-94.5258777503708,-111.69343566894531,0.015810027718544006,45
5482,-97.7364840408045,-94.5258777503708,24.76300048828125,0.014070476405322552,27
5512,-100.1164552718692,-94.5258777503708,23.178466796875,0.031050357967615128,30
5542,-100.01329320314107,-94.5258777503708,13.894814491271973,0.016217907890677452,30
5796,-100.88156271554362,-94.5258777503708,-2696.937744140625,0.008627302944660187,254
6296,121.95677113911324,-94.5258777503708,8350.9775390625,0.036654215306043625,500
6335,-100.16063672171731,-94.5258777503708,57.668941497802734,0.0241432785987854,39
6370,-96.81227857457998,-94.5258777503708,-36.46565628051758,0.006842732895165682,35
6398,-99.985781440133,-94.5258777503708,16.867633819580078,0.01779663749039173,28
6443,-100.18922838113212,-94.5258777503708,-42.92572021484375,0.0035477150231599808,45
6508,-100.22676656214753,-94.5258777503708,-186.27748107910156,0.03739430010318756,65
6548,-96.38125975425646,-94.5258777503708,-33.85068893432617,0.008915110491216183,40
6626,-94.25035213539013,-94.5258777503708,-659.7976684570312,0.041746966540813446,78
6890,-94.89933663400052,-94.5258777503708,2139.664306640625,0.046128302812576294,264
7067,-100.37367106721285,-94.5258777503708,-755.274658203125,0.009929941035807133,177
7093,-100.11929046039586,-94.5258777503708,57.98904800415039,0.021074678748846054,26
7176,-100.33652441781305,-94.5258777503708,239.37220764160156,0.009698536247015,83
7271,-90.67896769279469,-94.5258777503708,-836.6549072265625,0.03760908916592598,95
7316,-95.97006645374313,-94.5258777503708,-12.938335418701172,0.01020103506743908,45
7359,-100.137195694806,-94.5258777503708,11.415665626525879,0.007274610456079245,43
7386,-99.9430817809407,-94.5258777503708,52.36079788208008,0.04096619039773941,27
7445,-100.2157840101645,-94.5258777503708,-92.38459014892578,0.025058910250663757,59
7501,-100.20530938636512,-94.5258777503708,-4.606069564819336,0.016255466267466545,56
7526,-100.10526791069424,-94.5258777503708,74.03904724121094,0.05996941402554512,25
7810,-85.98521493334374,-94.5258777503708,271.9591064453125,0.008029990829527378,284
7870,-100.21805834648694,-94.5258777503708,-65.2308349609375,0.021311193704605103,60
7957,-100.28285262592271,-94.5258777503708,186.70086669921875,0.01994440332055092,87
8457,9.118904080434731,-94.5258777503708,8076.13671875,0.020718833431601524,500
8523,-94.98491159394553,-94.5258777503708,-632.8778686523438,0.07525622844696045,66
8936,-68.46414389586243,-94.5258777503708,1916.122314453125,0.008824620395898819,413
8971,-97.32600938226096,-94.5258777503708,-66.22920227050781,0.042779840528964996,35
9156,-100.50122497691154,-94.5258777503708,-1532.646484375,0.010228969156742096,185
9211,-95.8452455169645,-94.5258777503708,-175.3988494873047,0.0215383879840374,55
9249,-100.13820696857431,-94.5258777503708,-0.24644465744495392,0.013011791743338108,38
9293,-100.16348792428471,-94.5258777503708,-9.493175506591797,0.016930080950260162,44
9583,-92.65773667136273,-94.5258777503708,-2660.901611328125,0.014938813634216785,290
9860,-101.08840144482747,-94.5258777503708,18.572265625,0.0019029721152037382,277
9898,-100.16078621702036,-94.5258777503708,-6.6276702880859375,0.0037245566491037607,38
9922,-100.11259907251224,-94.5258777503708,62.20085906982422,0.05065109580755234,24
9972,-100.13859625476783,-94.5258777503708,-96.84420013427734,0.014911103062331676,50
10267,-67.473477392326,-5.619307862338161,-3535.07080078125,0.019078409299254417,295
10311,-99.15239661101259,-5.619307862338161,-58.180667877197266,0.0180374663323164,44
10508,-66.05199478516442,-5.619307862338161,-3038.98046875,0.0370597206056118,197
10687,-94.94104891275674,-5.619307862338161,-832.9470825195312,0.022074447944760323,179
10714,-97.37613493960816,-5.619307862338161,35.556396484375,0.009658555500209332,27
10749,-100.15408597044461,-5.619307862338161,-58.16264343261719,0.009203498251736164,35
10789,-96.70445863473287,-5.619307862338161,-135.1703643798828,0.04029565304517746,40
10893,-100.38890557901323,-5.619307862338161,-128.18670654296875,0.004920663312077522,104
10922,-97.79986158991233,-5.619307862338161,-14.091757774353027,0.016051191836595535,29
11061,-100.53249095590945,-5.619307862338161,779.981201171875,0.006342655513435602,139
11259,-79.86118141182124,-5.619307862338161,-2926.1025390625,0.02928297221660614,198
11409,-100.5405264555011,-5.619307862338161,-133.5542449951172,0.002047015121206641,150
11441,-97.72162794551696,-5.619307862338161,-5.665373802185059,0.011686149053275585,32
11486,-100.14466274426741,-5.619307862338161,70.95677185058594,0.025489063933491707,45
11724,-90.3861169377924,-5.619307862338161,-1783.8165283203125,0.008659805171191692,238
11791,-100.12845937692418,-5.619307862338161,-267.5636291503906,0.018377000465989113,67
12052,-100.98008249172199,-5.619307862338161,466.1673583984375,0.0009612279245629907,261
12134,-100.31362128965702,-5.619307862338161,246.3214569091797,0.017475664615631104,82
12432,-83.7718472893066,-5.619307862338161,-2015.9874267578125,0.004190071020275354,298
12589,-94.13611959515401,-5.619307862338161,-1393.813720703125,0.019647175446152687,157
12619,-100.11821040486029,-5.619307862338161,52.3836669921875,0.024855444207787514,30
12645,-97.94204045998049,-5.619307862338161,14.151642799377441,0.007528113666921854,26
12671,-99.78897356233574,-5.619307862338161,4.448971748352051,0.00814057420939207,26
13019,-83.0135298721068,-5.619307862338161,5379.625,0.03227008506655693,348
13083,-93.75341749721247,-5.619307862338161,-493.6931457519531,0.047699861228466034,64
13199,-89.67286991752917,-5.619307862338161,-1158.7166748046875,0.04202946648001671,116
13231,-100.13612268230645,-5.619307862338161,60.4732780456543,0.014301064424216747,32
13262,-97.35542611704295,-5.619307862338161,22.243383407592773,0.010606920346617699,31
13482,-76.95139687180244,-5.619307862338161,-3197.817138671875,0.03807838633656502,220
13595,-100.4524873556802,-5.619307862338161,56.493255615234375,0.002790115773677826,113
13622,-97.80880971066654,-5.619307862338161,-15.473361015319824,0.00926192570477724,27
13653,-97.67966400921432,-5.619307862338161,41.59642791748047,0.012239504605531693,31
13706,-99.46645282262557,-5.619307862338161,-108.44331359863281,0.012698344886302948,53
13743,-100.14402463080114,-5.619307862338161,14.8102388381958,0.010246766731142998,37
13776,-97.4674195732805,-5.619307862338161,0.7111179828643799,0.0011054602218791842,33
13813,-96.32630000746576,-5.619307862338161,-114.90426635742188,0.03716041147708893,37
14313,50.12822172197866,-5.619307862338161,13259.55078125,0.020156417042016983,500
14813,159.7165051427437,-5.619307862338161,36728.6328125,0.1622178852558136,500
14862,-96.60289187067247,-5.619307862338161,-116.60995483398438,0.010323422960937023,49
15020,-100.61637243720986,-98.67279882355797,696.0289306640625,0.0022112340666353703,158
15087,-92.54705686818488,-98.67279882355797,-416.11627197265625,0.06240765377879143,67
15349,-97.17004318939871,-98.67279882355797,3883.50390625,0.07426873594522476,262
15773,-92.73087836191189,-98.67279882355797,7835.5361328125,0.058395709842443466,424
15807,-100.11601680699823,-98.67279882355797,9.154060363769531,0.003919078502804041,34
15845,-97.36777927346702,-98.67279882355797,-61.77677536010742,0.016270002350211143,38
15891,-95.19977925152853,-98.67279882355797,-197.21815490722656,0.04448084160685539,46
15960,-98.09738052636749,-98.67279882355797,-358.4139404296875,0.028229927644133568,69
15998,-100.14866908064505,-98.67279882355797,10.711742401123047,0.003943444695323706,38
16054,-100.25622142714565,-98.67279882355797,-55.708099365234375,0.005117740482091904,56
16084,-97.70914497721242,-98.67279882355797,54.838539123535156,0.014533132314682007,30
16156,-100.3397719617351,-98.67279882355797,-143.5827178955078,0.008821651339530945,72
16243,-100.31885851500306,-98.67279882355797,-461.1808776855469,0.02757536619901657,87
16282,-100.1456726346878,-98.67279882355797,13.998918533325195,0.007844965904951096,39
16316,-97.07302286151389,-98.67279882355797,-34.94401168823242,0.013112773187458515,34
16388,-93.47532516112551,-98.67279882355797,-511.5479736328125,0.036418985575437546,72
16482,-98.58289390489517,-98.67279882355797,-435.35430908203125,0.02653774432837963,94
16770,-95.18389656032059,-98.67279882355797,4847.29931640625,0.06802770495414734,288
16909,-87.35982250794041,-98.67279882355797,-1898.58203125,0.03966723755002022,139
16956,-100.19204383920442,-98.67279882355797,11.000046730041504,0.010598467662930489,47
17000,-96.53620647417847,-98.67279882355797,-270.21832275390625,0.023284336552023888,44
17026,-100.10041621487471,-98.67279882355797,60.3822135925293,0.04836626350879669,26
17080,-99.52650495586568,-98.67279882355797,-49.293312072753906,0.011691340245306492,54
