Updates,Episodes,Time,Reward
0,0,1.1920928955078125e-06,-163.62015653894727
460,47,0.5946500301361084,-207.6577773679097
907,92,1.0514442920684814,-167.57691976866445
1287,132,1.4375219345092773,-534.4782392374875
1806,184,1.9432735443115234,-525.067928842379
2334,241,2.46545147895813,-556.845750972704
2749,283,2.9071505069732666,-600.9260926835066
3411,347,3.566274404525757,-759.1069397278709
4147,409,4.376027584075928,-780.2579239951459
4917,486,5.166144609451294,-1251.5012923990066
5935,577,6.259889364242554,-512.2804011522346
6376,615,6.727478981018066,-619.0220403557569
6853,661,7.245829343795776,-927.0550628466923
7765,746,8.189393043518066,-531.3689445331146
8239,793,8.672595739364624,-495.84484613436655
8693,836,9.16317343711853,-860.2299932026797
9484,899,10.034924030303955,-196.5867224958342
9935,944,10.535757541656494,-1025.9344548446084
10750,1016,11.381391286849976,-732.8944429104924
11407,1080,12.083231925964355,-870.055325899192
12203,1153,12.918411016464233,-1223.6278313126836
13181,1239,13.943587064743042,-802.6591592628298
13889,1294,14.66325068473816,-844.7457764464853
14706,1369,15.557555198669434,-656.5749380860663
15326,1417,16.279513835906982,-781.9981164746407
16083,1483,17.102989435195923,-500.89961282385394
16550,1528,17.590155839920044,-847.3750401447757
17371,1600,18.449284076690674,-1147.4277927758167
18330,1692,19.42940664291382,-1076.226267197548
19287,1775,20.38409996032715,-798.4912120322292
20038,1843,21.14895486831665,-144.07962752871606
20427,1877,21.579492807388306,-713.6569120116669
21077,1935,22.265626192092896,-956.7321878722705
21921,2007,23.109137773513794,-648.3855120096424
22554,2064,23.76404595375061,-759.6496169814014
23425,2145,24.6729896068573,-672.2904535750797
24236,2222,25.47993278503418,-1293.4483143258117
25399,2325,26.69330143928528,-819.8392204484705
26095,2391,27.45437788963318,-775.2660284490098
26992,2472,28.387170553207397,-802.1631644712431
27924,2556,29.338707447052002,-766.8899086041558
28667,2615,30.116236925125122,-1307.4973954592233
30161,2744,31.679784774780273,-1757.947083775433
31301,2844,32.87561011314392,-298.6570293761559
31883,2897,33.489720582962036,-577.5807580664858
32584,2958,34.21756362915039,-326.76391362914575
33072,3004,34.71746516227722,-862.2939962696643
34002,3077,35.71150064468384,-271.24992752030255
34648,3127,36.46562647819519,-1220.1047796212172
35596,3206,37.57904529571533,-1119.383713542477
36565,3287,38.602550983428955,-789.5758883879033
37460,3351,39.690130949020386,-1576.6789696769338
38471,3428,40.86459231376648,-657.5515716792645
