step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
50,-0.18035300724295666,-74.70368457088625,-65.1716079711914,0.004278765060007572,50,0.5,0.0001
100,4.670266533343238,-74.70368457088625,-75.69786834716797,0.006455686874687672,50,0.4999999701976776,0.0001
150,-0.15359873407578561,-74.70368457088625,-21.999183654785156,0.001919291797094047,50,0.49999991059303284,0.0001
200,-0.22125265625072643,-74.70368457088625,-80.4427261352539,0.0029835370369255543,50,0.49999985098838806,0.0001
250,-0.21457901451503858,-74.70368457088625,-132.4639434814453,0.005112500861287117,50,0.4999997615814209,0.0001
300,8.55740920608514,-74.70368457088625,-110.65562438964844,0.00877604354172945,50,0.49999964237213135,0.0001
350,0.7042802822552403,-74.70368457088625,-392.9888610839844,0.11400517076253891,50,0.4999995231628418,0.0001
364,-100.0452425497133,-74.70368457088625,32.83746337890625,0.24639685451984406,14,0.499999463558197,0.0001
414,5.498510638368316,-74.70368457088625,-562.6640014648438,0.20025330781936646,50,0.4999993145465851,0.0001
420,-100.00976161722792,-74.70368457088625,7.081116199493408,0.5378376841545105,6,0.4999993145465851,0.0001
470,-0.2835052555838047,-74.70368457088625,-724.1624145507812,0.35177746415138245,50,0.49999913573265076,0.0001
476,-100.02790497383103,-74.70368457088625,17.05123519897461,1.0859826803207397,6,0.49999910593032837,0.0001
526,0.06938037926738616,-74.70368457088625,7.966187000274658,0.0005607872153632343,50,0.49999889731407166,0.0001
576,0.23966264132468496,-74.70368457088625,-63.20871353149414,0.006989780347794294,50,0.49999868869781494,0.0001
626,-0.23066413540800568,-74.70368457088625,-279.045166015625,0.054294705390930176,50,0.49999845027923584,0.0001
658,-100.1478432584845,-74.70368457088625,139.20938110351562,0.23750537633895874,32,0.4999983012676239,0.0001
682,-97.92340466193855,-74.70368457088625,115.15987396240234,0.21510916948318481,24,0.49999815225601196,0.0001
705,-100.124179268023,-74.70368457088625,192.1888427734375,0.7657049894332886,23,0.4999980330467224,0.0001
755,18.57979254424572,-74.70368457088625,57.436920166015625,0.00514773977920413,50,0.49999773502349854,0.0001
805,2.138471469283104,-74.70368457088625,-20.66721534729004,0.000553540070541203,50,0.49999743700027466,0.0001
855,19.185103502124548,-74.70368457088625,-1.158684492111206,0.0009334220667369664,50,0.4999971091747284,0.0001
905,0.12358790129110275,-74.70368457088625,-51.7159309387207,0.002262176712974906,50,0.49999678134918213,0.0001
