step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
22,-100.10774298131582,-91.03066705676247,-679.1607666015625,11.045467376708984,22,0.5,0.0001
58,-97.03426952558948,-91.03066705676247,-686.5015869140625,6.096894264221191,36,0.5,0.0001
96,-96.15532877990336,-91.03066705676247,-1228.0439453125,4.959606647491455,38,0.4999999701976776,0.0001
168,-90.22561913118807,-91.03066705676247,-3442.636962890625,1.966842532157898,72,0.49999988079071045,0.0001
352,-96.2017219551235,-91.03066705676247,-14736.015625,1.7253022193908691,184,0.4999995231628418,0.0001
385,-97.24651381210424,-91.03066705676247,-1410.909912109375,6.7703680992126465,33,0.49999940395355225,0.0001
448,-95.80196250235895,-91.03066705676247,-1275.6124267578125,0.44680166244506836,63,0.49999919533729553,0.0001
494,-96.60127585547161,-91.03066705676247,-1567.8753662109375,2.7917182445526123,46,0.4999990463256836,0.0001
595,-99.8417817919617,-91.03066705676247,-5820.01416015625,1.2977381944656372,101,0.4999985992908478,0.0001
625,-97.54085709618175,-91.03066705676247,-476.0176696777344,0.6611067056655884,30,0.49999845027923584,0.0001
678,-100.22784570083604,-91.03066705676247,-646.6259155273438,0.4418971538543701,53,0.49999818205833435,0.0001
700,-100.13346247619484,-91.03066705676247,-347.3432312011719,10.430368423461914,22,0.4999980628490448,0.0001
729,-97.36861918434442,-91.03066705676247,-293.29693603515625,0.5780515074729919,29,0.49999791383743286,0.0001
749,-100.10935164138209,-91.03066705676247,-288.6283264160156,9.914081573486328,20,0.4999977946281433,0.0001
926,-96.1748685593152,-91.03066705676247,-14383.904296875,1.668300986289978,177,0.4999966025352478,0.0001
1033,-96.40271142160054,-91.03066705676247,-4448.19580078125,1.8844698667526245,107,0.49999579787254333,0.0001
1079,-100.22492440945643,-91.03066705676247,-1667.8648681640625,3.5322766304016113,46,0.4999954104423523,0.0001
1102,-100.1334251522785,-91.03066705676247,-686.9122924804688,7.304510116577148,23,0.4999952018260956,0.0001
1130,-98.25447600318876,-91.03066705676247,-174.8434295654297,0.42705467343330383,28,0.4999949634075165,0.0001
1161,-99.07790189803927,-91.03066705676247,-280.7770690917969,0.3822040855884552,31,0.4999946653842926,0.0001
1439,-76.6403581810664,-91.03066705676247,-25164.75,0.7783541083335876,278,0.49999183416366577,0.0001
1479,-100.18119829091302,-91.03066705676247,-347.9784240722656,0.2894103229045868,40,0.49999135732650757,0.0001
1625,-100.62226580889183,-91.03066705676247,-9643.99609375,0.9489622712135315,146,0.4999895691871643,0.0001
1747,-100.47780141896646,-91.03066705676247,-6531.322265625,0.9545990228652954,122,0.49998795986175537,0.0001
1776,-100.14925947511801,-91.03066705676247,-802.7489624023438,5.511137008666992,29,0.49998754262924194,0.0001
1811,-100.15789468417643,-91.03066705676247,-742.9866943359375,5.0351243019104,35,0.49998706579208374,0.0001
1848,-100.17213451789576,-91.03066705676247,-1280.989013671875,4.188058376312256,37,0.49998652935028076,0.0001
1888,-100.16700156468869,-91.03066705676247,-252.48916625976562,0.2060801088809967,40,0.499985933303833,0.0001
1932,-100.20769969396497,-91.03066705676247,-316.8182067871094,0.23200762271881104,44,0.4999852776527405,0.0001
1985,-99.16786830861383,-91.03066705676247,-2023.21240234375,2.564786434173584,53,0.4999844431877136,0.0001
2128,-97.92937632161556,-91.03066705676247,-7157.05078125,1.7213934659957886,143,0.4999821186065674,0.0001
2203,-95.49719776227721,-91.03066705676247,-1127.9041748046875,0.23337827622890472,75,0.4999808371067047,0.0001
2225,-97.970052156772,-91.03066705676247,-426.21185302734375,7.435621738433838,22,0.49998044967651367,0.0001
2266,-100.1518769958493,-91.03066705676247,-284.46990966796875,0.157114177942276,41,0.49997973442077637,0.0001
2361,-95.45148612122648,-91.03066705676247,-4388.82080078125,1.4553910493850708,95,0.4999780058860779,0.0001
2412,-100.24604516042746,-91.03066705676247,-511.3863830566406,0.17696601152420044,51,0.4999770224094391,0.0001
2434,-100.1222880781861,-91.03066705676247,-509.9753723144531,6.286682605743408,22,0.49997660517692566,0.0001
2483,-96.34082710120128,-91.03066705676247,-505.7038879394531,0.2079635113477707,49,0.49997565150260925,0.0001
2541,-93.90518314578367,-91.03066705676247,-2208.86669921875,1.707801103591919,58,0.4999745190143585,0.0001
2572,-100.13347439257632,-91.03066705676247,-144.8684539794922,0.10674367100000381,31,0.4999738931655884,0.0001
2643,-100.33084871306346,-91.03066705676247,-3646.292236328125,1.5681815147399902,71,0.4999724328517914,0.0001
2681,-100.14059353171433,-91.03066705676247,-1129.017578125,2.739870309829712,38,0.4999716281890869,0.0001
2706,-97.96081195118313,-91.03066705676247,-617.8789672851562,7.512635707855225,25,0.49997109174728394,0.0001
2737,-100.12374018695846,-91.03066705676247,-566.3969116210938,3.971067190170288,31,0.4999704360961914,0.0001
2770,-100.15106330625713,-91.03066705676247,-119.30123901367188,0.06120513752102852,33,0.4999697208404541,0.0001
2808,-100.1820827197298,-91.03066705676247,-1120.9442138671875,2.829838514328003,38,0.49996888637542725,0.0001
2829,-100.08505824054009,-91.03066705676247,-674.2390747070312,6.733911514282227,21,0.49996840953826904,0.0001
2978,-97.78330609302793,-91.03066705676247,-8499.8017578125,1.4678354263305664,149,0.49996498227119446,0.0001
3075,-89.95775266195051,-91.03066705676247,-4872.99609375,0.9249058365821838,97,0.4999626576900482,0.0001
3225,-72.29264891367347,-91.03066705676247,-6969.078125,0.49580273032188416,150,0.49995893239974976,0.0001
3258,-96.47705371797201,-91.03066705676247,-669.9409790039062,3.090824842453003,33,0.4999580979347229,0.0001
3294,-96.33955486209197,-91.03066705676247,-754.7211303710938,3.2806859016418457,36,0.4999571740627289,0.0001
3473,-90.13260873185209,-91.03066705676247,-9410.81640625,1.105466365814209,179,0.49995237588882446,0.0001
3502,-97.65103334083688,-91.03066705676247,-803.9698486328125,4.24444580078125,29,0.49995157122612,0.0001
3607,-92.25957422621286,-91.03066705676247,-3238.240966796875,0.9212895631790161,105,0.499948650598526,0.0001
3643,-100.20551373832859,-91.03066705676247,-1381.721435546875,3.270632266998291,36,0.49994760751724243,0.0001
3668,-100.11764710454736,-91.03066705676247,-69.68495178222656,0.027594909071922302,25,0.4999468922615051,0.0001
3787,-94.37928632560943,-91.03066705676247,-5097.0888671875,0.7905837297439575,119,0.4999433755874634,0.0001
3807,-97.81602521112654,-91.03066705676247,-316.5078430175781,5.870514392852783,20,0.4999427795410156,0.0001
3857,-93.97727736138404,-91.03066705676247,-1256.06103515625,1.6310737133026123,50,0.49994125962257385,0.0001
3907,-100.20734841452213,-91.03066705676247,-1121.12158203125,1.6115829944610596,50,0.4999397397041321,0.0001
4062,-98.17760231360444,-91.03066705676247,-6804.22705078125,1.3299164772033691,155,0.4999348521232605,0.0001
4092,-100.17787374720137,-91.03066705676247,-866.26953125,3.3622004985809326,30,0.4999338984489441,0.0001
4112,-100.12967840605415,-91.03066705676247,-253.2846221923828,5.821212291717529,20,0.49993324279785156,0.0001
4176,-94.56434954752513,-91.03066705676247,-2291.267822265625,1.2773361206054688,64,0.4999311566352844,0.0001
4209,-97.49625163487508,-91.03066705676247,-173.04464721679688,0.08592665940523148,33,0.4999300539493561,0.0001
