step,training reward,validation reward,loss policy,loss critic,epsisode length
107,-84.83233191545878,234.14399059971947,648.5470581054688,0.01964004896581173,107
289,-90.992041134705,234.14399059971947,-209.5101318359375,0.034047678112983704,182
389,-89.6705310331854,234.14399059971947,545.1832275390625,0.022445181384682655,100
431,-97.52543356893875,234.14399059971947,-737.583251953125,0.6652868390083313,42
525,-89.54058932305634,234.14399059971947,532.375732421875,0.01493673026561737,94
696,-93.74623130168766,234.14399059971947,361.58941650390625,0.03759872913360596,171
869,-93.96324332448967,234.14399059971947,-564.1587524414062,0.030351174995303154,173
1093,-89.08168327941542,234.14399059971947,-1331.51708984375,0.05735810473561287,224
1240,-96.33208919335084,234.14399059971947,-1698.40673828125,0.08323943614959717,147
1264,-98.10296702995947,234.14399059971947,66.26046752929688,0.0955803319811821,24
1378,-88.88451921144951,234.14399059971947,216.5159454345703,0.008746631443500519,114
1400,-100.11316222074674,234.14399059971947,77.54893493652344,0.24064205586910248,22
1437,-100.15610167582054,234.14399059971947,-443.4948425292969,0.9683572053909302,37
1525,-95.27931142682974,234.14399059971947,86.15392303466797,0.0076170191168785095,88
1842,-57.483119349470144,234.14399059971947,469.08111572265625,0.008006778545677662,317
1870,-96.83901237061946,234.14399059971947,89.0194091796875,0.0404803603887558,28
1936,-93.93410165468958,234.14399059971947,161.4963836669922,0.01696157082915306,66
2172,-90.65123800835408,234.14399059971947,-1028.787353515625,0.03902232274413109,236
2364,-92.83385405737863,234.14399059971947,-1779.216064453125,0.033971916884183884,192
2530,-95.38628809637157,-96.04036707466003,-1935.574951171875,0.05732142552733421,166
2569,-97.79551235720282,-96.04036707466003,-275.6421813964844,0.4991127848625183,39
2742,-90.53446490977967,-96.04036707466003,-473.1019592285156,0.025322243571281433,173
2829,-100.36438042784721,-96.04036707466003,402.730712890625,0.01960909552872181,87
2858,-100.15513529043528,-96.04036707466003,-346.7936096191406,0.7017942070960999,29
2886,-100.14043562789448,-96.04036707466003,94.87096405029297,0.09956181049346924,28
2913,-98.06585513291066,-96.04036707466003,-329.4034423828125,0.5114889144897461,27
2935,-100.10150364974834,-96.04036707466003,126.17217254638672,0.1702563464641571,22
2970,-97.75699171741144,-96.04036707466003,-188.28585815429688,0.37536683678627014,35
3003,-99.84417550855142,-96.04036707466003,64.11994934082031,0.023800596594810486,33
3216,-90.20176619484482,-96.04036707466003,-807.366455078125,0.021324438974261284,213
3243,-100.01721231875126,-96.04036707466003,46.77439880371094,0.03058302029967308,27
3471,-89.7658591035979,-96.04036707466003,-268.0999755859375,0.01732964627444744,228
3638,-95.90843678460078,-96.04036707466003,-1557.63818359375,0.0290009006857872,167
3800,-93.54301380219658,-96.04036707466003,-116.86734008789062,0.012330261059105396,162
3835,-97.69670840722131,-96.04036707466003,-329.3142395019531,0.3639444410800934,35
4043,-91.11943943192091,-96.04036707466003,-372.8253173828125,0.019798751920461655,208
