Updates,Episodes,Time,Reward
0,0,9.5367431640625e-07,-123.8049867918317
370,39,0.5184245109558105,-151.34718084924333
808,83,0.9897651672363281,-137.42578877335296
1258,130,1.455885887145996,-138.1966549442204
1610,165,1.8312861919403076,-332.48948735262945
2105,214,2.354151964187622,-616.6836665027206
2547,260,2.847259521484375,-578.2265524053149
2975,302,3.312068462371826,-753.7245178489214
3662,370,4.0522119998931885,-583.060917698789
4069,420,4.496371030807495,-782.7857756013531
4785,485,5.263198614120483,-859.8585230721571
5542,558,6.064223527908325,-630.6462745624654
6059,609,6.6087822914123535,-654.0904935751773
6512,661,7.072688341140747,-577.2960951824664
6941,718,7.490998029708862,-584.7326803365144
7352,773,7.914045333862305,-528.7990326139283
7740,821,8.308160305023193,-536.1436577036673
8226,874,8.804081678390503,-548.0000782560024
8607,926,9.187607526779175,-563.3396323339327
9050,978,9.630813360214233,-528.1121060674957
9623,1054,10.187124252319336,-573.7369286393956
10031,1106,10.588137149810791,-628.0823282162257
10484,1164,11.036832571029663,-562.5278204724207
10853,1215,11.430513143539429,-635.4203747482687
11343,1281,11.906134843826294,-618.9307387404012
11774,1338,12.364786624908447,-578.6912693971859
12262,1404,12.824102640151978,-485.4228707222166
12673,1464,13.2263343334198,-503.4905564945102
13084,1519,13.62819218635559,-623.4172509958955
13500,1574,14.079342365264893,-558.8071945900072
13897,1629,14.496131420135498,-613.2987645825212
14281,1675,14.90316367149353,-625.221026237651
14721,1736,15.335155725479126,-532.3586783638322
15091,1788,15.725964784622192,-581.7986972561703
15543,1851,16.181736707687378,-573.4984070480307
16036,1921,16.673285961151123,-604.0437780957297
16458,1980,17.0845148563385,-500.85443891426496
16838,2030,17.48406457901001,-592.6074045331068
17220,2084,17.892148971557617,-640.3897931296333
17643,2144,18.308753728866577,-629.5318148888753
18091,2195,18.760031938552856,-506.70309047690387
18489,2248,19.165484189987183,-568.8765672738897
18983,2307,19.677714347839355,-702.8839203623044
19464,2373,20.136725425720215,-500.6086019275125
19876,2433,20.558105945587158,-525.5375923844226
20259,2484,20.969317197799683,-588.8755989987595
20702,2544,21.39986228942871,-591.6410340312474
21134,2602,21.830405235290527,-652.03484700159
21560,2657,22.262427806854248,-685.9418919958318
