step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
43,-100.17371115882997,-98.80833730241284,-907.3909301757812,1.1208845376968384,43,0.5,0.0001
105,-100.25829708206584,-98.80833730241284,-2199.0859375,1.0605210065841675,62,0.4999999701976776,0.0001
133,-97.46969787083799,-98.80833730241284,-216.74400329589844,0.765063464641571,28,0.4999999403953552,0.0001
208,-95.76212220640446,-98.80833730241284,-2490.656005859375,0.7922360897064209,75,0.4999998211860657,0.0001
311,-93.13937134839944,-98.80833730241284,-4527.83935546875,0.6647905707359314,103,0.49999961256980896,0.0001
334,-97.58987456242903,-98.80833730241284,-160.85862731933594,0.7578028440475464,23,0.4999995529651642,0.0001
463,-83.41780506457508,-98.80833730241284,-4801.79443359375,0.47388747334480286,129,0.49999916553497314,0.0001
525,-100.20865014262381,-98.80833730241284,-1304.280517578125,0.8931363821029663,62,0.49999889731407166,0.0001
554,-97.57830977003323,-98.80833730241284,-434.35284423828125,0.7986617684364319,29,0.4999987781047821,0.0001
804,9.997309693513671,-98.80833730241284,4023.619384765625,0.07117139548063278,250,0.49999743700027466,0.0001
807,-100.00621744384989,-98.80833730241284,-2.0636255741119385,1.3371821641921997,3,0.49999743700027466,0.0001
866,-100.233107839078,-98.80833730241284,-1530.260498046875,1.2462455034255981,59,0.4999970495700836,0.0001
906,-96.03300050247344,-98.80833730241284,-550.609375,0.5852195620536804,40,0.49999675154685974,0.0001
1148,-97.26214045041161,-98.80833730241284,-15092.0673828125,0.3757789433002472,242,0.49999478459358215,0.0001
1186,-96.7777405930392,-98.80833730241284,-355.4135437011719,0.48307961225509644,38,0.4999944567680359,0.0001
1287,-97.76422436609573,-98.80833730241284,-4054.72705078125,0.7086168527603149,101,0.4999934732913971,0.0001
1329,-95.85981081865248,-98.80833730241284,-491.66131591796875,0.5572294592857361,42,0.4999930262565613,0.0001
1459,-100.4265745869161,-98.80833730241284,-4470.22265625,0.6312685012817383,130,0.49999159574508667,0.0001
1687,-87.62185971303643,-98.80833730241284,-12042.3310546875,0.3069438338279724,228,0.49998876452445984,0.0001
1769,-100.30022724668606,-98.80833730241284,-2633.528564453125,0.7751087546348572,82,0.4999876320362091,0.0001
1920,-100.50852353839309,-98.80833730241284,-6911.34521484375,0.5702993273735046,151,0.4999854564666748,0.0001
2170,-0.9751462253625505,-98.80833730241284,922.2387084960938,0.0018888430204242468,250,0.4999814033508301,0.0001
2174,-100.00866522826254,-98.80833730241284,-8.799057960510254,1.2341790199279785,4,0.4999813437461853,0.0001
2424,7.119108156883158,-98.80833730241284,-1508.1697998046875,0.005493928212672472,250,0.4999768137931824,0.0001
2673,-0.4900369496681378,-98.80833730241284,-4251.52001953125,0.021641312167048454,249,0.49997180700302124,0.0001
2758,-94.7544709435715,-98.80833730241284,-1733.603759765625,0.4899127781391144,85,0.4999699592590332,0.0001
3008,-0.9967425806125902,-98.80833730241284,-689.3090209960938,0.0034619583748281,250,0.49996426701545715,0.0001
3070,-100.2211930244157,-98.80833730241284,-1276.16748046875,0.7283536791801453,62,0.49996280670166016,0.0001
3135,-100.27067468883433,-98.80833730241284,-1860.98095703125,0.620894193649292,65,0.4999611973762512,0.0001
3166,-100.08081928391766,-98.80833730241284,-599.47705078125,1.0383957624435425,31,0.49996042251586914,0.0001
3250,-100.30357335606641,-98.80833730241284,-2365.076171875,0.6550105810165405,84,0.4999583065509796,0.0001
3289,-96.63539968598343,-98.80833730241284,-626.83349609375,0.6274405717849731,39,0.49995729327201843,0.0001
3331,-100.17260696442099,-98.80833730241284,-641.9518432617188,0.957320511341095,42,0.4999561905860901,0.0001
3399,-100.25469479610183,-98.80833730241284,-1903.344482421875,0.737873375415802,68,0.4999544024467468,0.0001
3443,-96.50413283324451,-98.80833730241284,-693.2578125,0.6557573676109314,44,0.4999532103538513,0.0001
3693,3.8218989516435613,-98.80833730241284,3201.37451171875,0.01803499646484852,250,0.49994614720344543,0.0001
3746,-100.21056362861418,-98.80833730241284,-1251.2283935546875,0.7507662773132324,53,0.4999445974826813,0.0001
3996,5.5665565979852545,-98.80833730241284,1841.593505859375,0.013641154393553734,250,0.49993696808815,0.0001
4012,-100.05684132222086,-98.80833730241284,-76.16949462890625,0.5807814002037048,16,0.49993646144866943,0.0001
4051,-96.84384476710693,-98.80833730241284,-298.19384765625,0.32280921936035156,39,0.49993520975112915,0.0001
4110,-100.32069099319779,-98.80833730241284,-2104.327392578125,0.638800323009491,59,0.49993330240249634,0.0001
4152,-95.82472739895798,-98.80833730241284,-703.13427734375,0.36607128381729126,42,0.4999319612979889,0.0001
4189,-97.33285329125647,-98.80833730241284,-499.3459167480469,0.4844712018966675,37,0.499930739402771,0.0001
4352,-95.24127015641443,-98.80833730241284,-8218.857421875,0.35108375549316406,163,0.4999252259731293,0.0001
4413,-100.21111665392527,-98.80833730241284,-1151.4566650390625,0.5289207696914673,61,0.49992311000823975,0.0001
4435,-100.06563713939977,-98.80833730241284,-68.57205200195312,0.42078089714050293,22,0.49992236495018005,0.0001
4685,21.943193071983842,-98.80833730241284,1101.98828125,0.003957221284508705,250,0.49991336464881897,0.0001
4767,-100.31943234310893,-98.80833730241284,-1925.6143798828125,0.42259761691093445,82,0.49991029500961304,0.0001
4805,-96.90395792514028,-98.80833730241284,-390.2502136230469,0.28718215227127075,38,0.4999088644981384,0.0001
4838,-99.95206883938226,-98.80833730241284,-274.9406433105469,0.4302167296409607,33,0.49990761280059814,0.0001
4881,-98.70959366497846,-98.80833730241284,-645.5689697265625,0.3325519561767578,43,0.49990594387054443,0.0001
4964,-94.55052880938456,-98.80833730241284,-1609.2022705078125,0.2832998037338257,83,0.49990272521972656,0.0001
