Updates,Episodes,Time,Reward
0,0,9.5367431640625e-07,-505.99481254190897
581,58,0.7533307075500488,-486.5434821440928
1213,120,1.3909845352172852,-2172.1712588016976
2350,225,2.5502917766571045,-576.3234019264781
2836,275,3.0526182651519775,-627.2961372150694
3356,328,3.5884199142456055,-612.8884363384899
3805,388,4.03170371055603,-525.1148586044519
4202,442,4.419918775558472,-600.8801857979346
4614,498,4.812269687652588,-155.7998161447603
4974,549,5.110535383224487,-130.4472982674601
5317,583,5.445056915283203,-132.20324097315873
5762,615,5.90209698677063,-738.511745914172
6669,695,6.816831111907959,-114.98954882941271
7084,730,7.2354559898376465,-127.41380557870771
7588,769,7.724968910217285,-697.6779660812743
8366,842,8.500771284103394,-121.12697875259627
8712,868,8.863079309463501,-657.9263575650609
9535,936,9.712337732315063,-113.41650932455063
10052,983,10.248049974441528,-630.3348776049631
10845,1052,11.098573446273804,-146.36459111945842
11189,1091,11.451449871063232,-528.6050554517226
11633,1135,11.885252714157104,-609.1251685752129
12502,1209,12.803964138031006,-521.1824654753353
13199,1270,13.550484418869019,-1135.740570335608
14148,1348,14.539895057678223,-733.4857908512324
14887,1411,15.316049098968506,-1172.5712836963012
15903,1502,16.371610164642334,-634.2353086805831
16582,1558,17.117419004440308,-375.2325813506642
17063,1601,17.59642767906189,-954.6175526394912
18151,1689,18.729557275772095,-555.3058408747784
18809,1751,19.397882223129272,-383.5872260186665
19293,1788,19.930063009262085,-874.5196820725845
20309,1887,20.90897011756897,-791.0359060383205
21251,1969,21.86966300010681,-1089.5863317538165
22257,2068,22.876190423965454,-644.8292768958963
22955,2126,23.616114616394043,-326.86991050743677
23432,2171,24.110772609710693,-1218.8183060154056
24509,2271,25.203452110290527,-116.32143661816308
24864,2307,25.58836579322815,-744.6545277685476
25635,2377,26.42018985748291,-242.71313593863107
26116,2420,26.93448781967163,-1016.9201342363934
27085,2499,27.950517654418945,-818.0687121553716
27898,2564,28.889358520507812,-823.7338596999198
28801,2632,29.853196620941162,-856.4979561727862
29708,2709,30.77911067008972,-913.3063592677311
30630,2791,31.7410626411438,-953.1458648435264
31588,2867,32.71929216384888,-796.5097128115003
32312,2919,33.60614633560181,-911.23719256148
32989,2973,34.42506980895996,-631.0532294024454
33871,3041,35.37115263938904,-1341.8414863862681
34962,3129,36.60383653640747,-821.1045375678945
35742,3187,37.50185775756836,-902.2507306962168
36515,3255,38.3537974357605,-703.34372221016
37265,3316,39.20120811462402,-898.6098943532885
38374,3414,40.36451005935669,-1071.0043697733856
39388,3491,41.43334412574768,-1185.587662880736
40519,3586,42.667805433273315,-739.3201666752825
41311,3656,43.46942925453186,-852.2902896143623
42188,3726,44.43948149681091,-883.0328854967744
43054,3801,45.387428998947144,-836.9779313494191
43896,3859,46.376173973083496,-1113.3674510523626
45022,3954,47.65882158279419,-1407.9780341251242
46202,4056,48.88160252571106,-886.0276266689432
47251,4149,49.95994019508362,-718.7129497848344
48277,4237,51.068336725234985,-1096.6476590150198
49208,4303,52.11629509925842,-1034.1152584724146
50313,4397,53.36636829376221,-1200.1194112763428
51335,4482,54.449952125549316,-780.5284731579353
52166,4553,55.331732988357544,-760.272097017968
52987,4621,56.20995759963989,-1098.2390018407482
54223,4720,57.520143032073975,-991.0410278774534
55217,4804,58.561004877090454,-929.9294440748042
56322,4889,59.7296257019043,-821.4353144149936
57155,4953,60.65395903587341,-868.6651296086318
58154,5034,61.70283365249634,-879.9996871580794
59262,5123,62.87547707557678,-864.0972256843057
60464,5213,64.28324437141418,-797.5170151533667
61391,5292,65.2427384853363,-1167.5430704130217
62514,5386,66.46973729133606,-512.6647431045284
63770,5484,67.89283323287964,-1533.889429548558
65143,5585,69.37985754013062,-840.4394768126737
66146,5652,70.54274702072144,-575.8673204749509
66875,5703,71.34347629547119,-938.4124864606508
68023,5789,72.56393814086914,-691.5545553025593
68957,5856,73.58579564094543,-1021.3114997243838
70001,5930,74.75485014915466,-798.5087126475304
70866,5994,75.71876788139343,-1501.6582638781726
72263,6077,77.50788044929504,-1417.4125759753374
73641,6171,79.08092045783997,-1347.7882604584688
74855,6251,80.47882437705994,-1164.656600028489
76048,6340,81.76435399055481,-1185.8248292251542
77227,6420,83.09135460853577,-1527.6429095018252
78652,6518,84.70580172538757,-1985.0613110892543
80129,6615,86.4237768650055,-895.3099984832954
81001,6668,87.56181502342224,-1111.264950812299
82274,6754,89.04866790771484,-1008.0918611292052
83571,6845,90.56057786941528,-2324.2858498078485
85189,6937,92.63563251495361,-1579.0392223739789
86441,7019,94.16193699836731,-952.2208877923371
87359,7078,95.25438261032104,-676.9256406494064
88861,7163,97.05263257026672,-2142.6687191666383
90563,7281,98.96336603164673,-1184.4987764872944
91807,7357,100.3679838180542,-799.5997714932389
93008,7431,101.81796026229858,-1065.0807592502558
93962,7494,102.93343997001648,-655.4628816890424
94985,7563,104.06316590309143,-1351.3726058667762
