time,step,iterations,episodes,training reward,episode steps,loss policy,loss critic,sigma,lr_policy
0.8109614849090576,73,1,1,0.05765422061085701,73,6.709989070892334,0.003764655441045761,0.5,0.0001
2.0426857471466064,173,2,1,,,-3.112020254135132,0.001283002202399075,0.5,0.0001
2.1254637241363525,223,3,2,0.0,150,12.228216171264648,0.0031615018378943205,0.4999999701976776,0.0001
2.2102372646331787,276,4,3,0.11544667929410934,53,6.409955978393555,0.010156691074371338,0.4999999403953552,0.0001
2.359344482421875,368,5,4,0.0,92,4.936797618865967,0.00016503479855600744,0.49999991059303284,0.0001
2.5174272060394287,468,6,4,,,-0.4899587035179138,0.0011056173825636506,0.49999985098838806,0.0001
2.647080659866333,549,7,5,0.0,181,3.540975570678711,0.0015379113610833883,0.4999997913837433,0.0001
2.7702579498291016,633,8,6,0.0,84,1.3823459148406982,0.0007806212524883449,0.4999997019767761,0.0001
2.9093916416168213,726,9,7,0.0,93,1.6032629013061523,0.000520135450642556,0.49999961256980896,0.0001
3.066969871520996,826,10,7,,,-1.1256672143936157,0.0007095744949765503,0.4999994933605194,0.0001
3.191145181655884,902,11,8,0.0,176,-1.6197938919067383,0.00041435728780925274,0.49999937415122986,0.0001
3.349228620529175,1002,12,8,,,-0.3223690092563629,6.541379207192222e-06,0.4999992549419403,0.0001
3.4833765029907227,1087,13,9,0.0,185,-2.6881468296051025,0.00016862015763763338,0.49999910593032837,0.0001
3.6319780349731445,1187,14,9,,,-0.1405164748430252,6.678071804344654e-05,0.49999895691871643,0.0001
3.7102746963500977,1236,15,10,0.0,149,-1.919480562210083,0.00019671351765282452,0.4999987781047821,0.0001
3.863370180130005,1336,16,10,,,-0.8083685040473938,9.566600783728063e-05,0.4999985992908478,0.0001
3.9591152667999268,1396,17,11,0.0,160,-1.7236751317977905,4.7071393055375665e-05,0.49999842047691345,0.0001
4.108220815658569,1489,18,12,0.0,93,-1.6388410329818726,2.7849400794366375e-05,0.49999821186065674,0.0001
4.200972557067871,1547,19,13,0.14394207298755646,58,14.988960266113281,0.014080618508160114,0.4999980032444,0.0001
4.3480870723724365,1647,20,13,,,-0.06026236712932587,0.00028636393835768104,0.4999977648258209,0.0001
