step,training reward,validation reward,loss policy,loss critic,epsisode length
22,-97.56201177942876,-83.67551807806876,-408.00787353515625,2.4397566318511963,22
45,-97.4230001212772,-83.67551807806876,-316.49853515625,1.9376564025878906,23
545,64.52595891952352,-83.67551807806876,3251.4453125,0.015737229958176613,500
564,-100.03656451050938,-83.67551807806876,-262.3848571777344,2.810239791870117,19
622,-92.63056872234233,-83.67551807806876,-1378.1646728515625,0.9168729782104492,58
658,-100.1016052944085,-83.67551807806876,-936.837646484375,1.6302483081817627,36
718,-91.68729399755762,-83.67551807806876,-1833.771484375,0.8040453195571899,60
742,-95.79277240441661,-83.67551807806876,-267.2906799316406,1.3554049730300903,24
799,-92.66988582355816,-83.67551807806876,-1509.5821533203125,0.7353636026382446,57
888,-97.62065983722601,-83.67551807806876,-2577.138671875,0.7274230718612671,89
919,-95.7386727143845,-83.67551807806876,-496.2455139160156,1.4235165119171143,31
957,-100.08198964118401,-83.67551807806876,-776.1126098632812,1.470682978630066,38
981,-96.53543419607922,-83.67551807806876,-300.0826416015625,1.4443193674087524,24
1001,-97.89412034669658,-83.67551807806876,-219.89239501953125,1.6397781372070312,20
1059,-100.14859037389579,-83.67551807806876,-1927.252197265625,0.9740155339241028,58
1105,-94.89590891545595,-83.67551807806876,-1146.149169921875,0.9790036678314209,46
1136,-95.95068174483322,-83.67551807806876,-379.1586608886719,1.0633870363235474,31
1201,-100.13174188992127,-83.67551807806876,-1693.8670654296875,0.8446636199951172,65
1223,-100.06838929528021,-83.67551807806876,-371.5316467285156,1.5950065851211548,22
1277,-94.51837100873854,-83.67551807806876,-1196.195556640625,0.7280823588371277,54
1335,-100.15467212365587,-83.67551807806876,-1606.212158203125,0.7570883631706238,58
1412,-91.62477245024976,-83.67551807806876,-2035.552978515625,0.5769700407981873,77
1448,-96.84975394523644,-83.67551807806876,-439.9599609375,1.1164555549621582,36
1477,-100.05930245644097,-83.67551807806876,-359.3242492675781,1.2496362924575806,29
1515,-100.06436793815101,-83.67551807806876,-556.0042724609375,1.1002371311187744,38
1594,-79.71885972740415,-83.67551807806876,-1723.05224609375,0.4626249074935913,79
1633,-95.45751091171041,-83.67551807806876,-668.552734375,0.7438961863517761,39
1692,-92.1113203303574,-83.67551807806876,-1302.6959228515625,0.698741614818573,59
