time,step,iterations,episodes,training reward,episode steps,loss policy,loss critic,sigma,lr_policy
0.8217494487762451,81,1,1,0.07653714716434479,81,6.630669116973877,0.0024574154522269964,0.5,0.0001
2.372938394546509,181,2,1,,,1.924375295639038,2.411045898043085e-05,0.5,0.0001
2.402858018875122,196,3,2,0.0,115,-0.8861304521560669,0.004112721420824528,0.4999999701976776,0.0001
2.4851455688476562,244,4,3,0.06712274998426437,48,1.9811006784439087,0.0005167264025658369,0.4999999403953552,0.0001
2.5998384952545166,315,5,4,0.15522125363349915,71,9.284530639648438,0.008974338881671429,0.49999991059303284,0.0001
2.764904022216797,415,6,4,,,0.14123092591762543,0.00047557035577483475,0.49999985098838806,0.0001
2.771885395050049,416,7,5,0.0,101,-0.01613529399037361,0.0025014299899339676,0.4999997913837433,0.0001
2.933957815170288,516,8,5,,,0.34480875730514526,0.00040373633964918554,0.4999997019767761,0.0001
3.006762742996216,559,9,6,0.0,143,-2.707749843597412,0.0017279457533732057,0.49999961256980896,0.0001
3.152879238128662,646,10,7,0.13293367624282837,87,5.670169353485107,0.004815163090825081,0.4999994933605194,0.0001
3.240152597427368,697,11,8,0.09166378527879715,51,3.717378854751587,0.003105301409959793,0.49999937415122986,0.0001
3.353848457336426,767,12,9,0.14824192225933075,70,6.49954891204834,0.009635267779231071,0.4999992549419403,0.0001
3.4830098152160645,840,13,10,0.07489367574453354,73,3.009186029434204,0.000913707131985575,0.49999910593032837,0.0001
3.6420912742614746,935,14,11,0.18935151398181915,95,16.361629486083984,0.010102814994752407,0.49999895691871643,0.0001
3.810148239135742,1035,15,11,,,-2.8629539012908936,0.00131293386220932,0.4999987781047821,0.0001
3.822115421295166,1039,16,12,0.0,104,-0.016586696729063988,0.0001601563417352736,0.4999985992908478,0.0001
3.98917555809021,1139,17,12,,,-1.369449496269226,0.0017777517205104232,0.49999842047691345,0.0001
4.043031692504883,1170,18,13,0.0,131,-0.6988485455513,0.0007694123196415603,0.49999821186065674,0.0001
4.2080981731414795,1270,19,13,,,-2.162651777267456,0.0017492329934611917,0.4999980032444,0.0001
4.256967067718506,1297,20,14,0.0,127,-0.6747736930847168,0.0011541921412572265,0.4999977648258209,0.0001
4.425025224685669,1397,21,14,,,-4.629709720611572,0.0012541093165054917,0.4999975264072418,0.0001
4.446967124938965,1408,22,15,0.0,111,-0.19785138964653015,5.6549233704572544e-05,0.4999972879886627,0.0001
4.593082427978516,1498,23,16,0.0,90,-4.099308490753174,0.0012132871197536588,0.49999701976776123,0.0001
4.700794219970703,1563,24,17,0.13780397176742554,65,5.801595687866211,0.0059212129563093185,0.49999675154685974,0.0001
4.831949949264526,1647,25,18,0.06190236285328865,84,-1.3747169971466064,0.0005694926949217916,0.49999645352363586,0.0001
4.989037275314331,1741,26,19,0.0,94,-4.059728622436523,0.00030333749600686133,0.499996155500412,0.0001
5.107719659805298,1808,27,20,0.0,67,-1.769524335861206,0.000577450729906559,0.4999958276748657,0.0001
5.266800880432129,1908,28,20,,,-2.659937620162964,0.00034869255614466965,0.49999549984931946,0.0001
5.32315731048584,1940,29,21,0.0,132,-1.793294906616211,0.00024312212190125138,0.4999951720237732,0.0001
5.489711284637451,2040,30,21,,,-2.5079762935638428,0.00039829930756241083,0.49999481439590454,0.0001
5.559033632278442,2080,31,22,0.0,140,1.1697722673416138,0.0006450660875998437,0.4999944567680359,0.0001
5.732078313827515,2180,32,22,,,0.3966774642467499,0.00012449071800801903,0.49999406933784485,0.0001
5.826824426651001,2236,33,23,0.0,156,1.191587209701538,0.0003498103469610214,0.4999936819076538,0.0001
5.962966680526733,2318,34,24,0.001164467423222959,82,-2.1672651767730713,0.0008281547925435007,0.49999329447746277,0.0001
6.106090068817139,2403,35,25,0.0,85,-2.532877206802368,0.0007557971403002739,0.49999287724494934,0.0001
6.227765083312988,2477,36,26,0.0,74,0.5332860350608826,0.0003893126267939806,0.4999924302101135,0.0001
6.388840436935425,2577,37,26,,,-1.4463269710540771,0.00014506763545796275,0.4999920129776001,0.0001
6.396819353103638,2579,38,27,0.0,102,-0.05936839431524277,0.000481079681776464,0.4999915659427643,0.0001
6.55091404914856,2677,39,28,0.23401091992855072,98,15.157201766967773,0.021019678562879562,0.4999910891056061,0.0001
6.715979814529419,2777,40,28,,,-1.6077775955200195,0.0002611669769976288,0.4999906122684479,0.0001
6.741909742355347,2791,41,29,0.0,114,-0.3081494867801666,0.00039410771569237113,0.4999901354312897,0.0001
6.879050016403198,2883,42,30,0.34282371401786804,92,33.37046813964844,0.04524654150009155,0.4999896287918091,0.0001
6.969806909561157,2938,43,31,0.0,55,-1.8112404346466064,0.0006505256751552224,0.4999891221523285,0.0001
7.140854835510254,3038,44,31,,,-0.8330258727073669,0.0004289218341000378,0.4999885857105255,0.0001
7.175761461257935,3056,45,32,0.0,118,0.6786409020423889,0.0005402715760283172,0.49998804926872253,0.0001
7.314895868301392,3143,46,33,0.0,87,-1.6869726181030273,0.0007162470137700438,0.49998751282691956,0.0001
7.4769697189331055,3243,47,33,,,-1.615572452545166,0.0008057514787651598,0.4999869465827942,0.0001
7.514868259429932,3264,48,34,0.0,121,-0.506426215171814,0.00045130131184123456,0.4999863803386688,0.0001
7.652007341384888,3350,49,35,0.0,86,-4.435231685638428,0.003239674726501107,0.49998578429222107,0.0001
7.8100903034210205,3450,50,35,,,1.5812722444534302,0.00017592954100109637,0.4999851882457733,0.0001
7.928772926330566,3528,51,36,0.2030894011259079,178,6.232536792755127,0.0032090134918689728,0.49998459219932556,0.0001
