step,training reward,validation reward,loss policy,loss critic,epsisode length
19,-97.91535471154202,-62.511461189905276,-505.5321960449219,3.943976879119873,19
296,-83.84882011444662,-62.511461189905276,-17280.94921875,0.34112223982810974,277
436,-91.8447097976819,-62.511461189905276,-6516.66015625,0.5020596981048584,140
552,-100.31860940104119,-62.511461189905276,-2683.934326171875,0.1643146276473999,116
589,-95.70273862725662,-62.511461189905276,-1045.5247802734375,0.6855076551437378,37
607,-100.07479168652208,-62.511461189905276,-116.76493072509766,1.5024725198745728,18
624,-98.0444871591535,-62.511461189905276,-117.27890014648438,1.94240403175354,17
784,-93.83691268513425,-62.511461189905276,-6698.60986328125,0.31705912947654724,160
800,-97.92712041231061,-62.511461189905276,-105.3797378540039,1.493906855583191,16
824,-100.07005563022176,-62.511461189905276,-160.77578735351562,0.39418894052505493,24
919,-93.9454775662939,-62.511461189905276,-1870.6136474609375,0.28166601061820984,95
1095,-71.41613123999787,-62.511461189905276,-3417.8212890625,0.10195256024599075,176
1317,-57.335560414376914,-62.511461189905276,-2457.36328125,0.08619154244661331,222
1359,-95.6532097219781,-62.511461189905276,-469.97247314453125,0.2008378803730011,42
1465,-97.13462561285282,-62.511461189905276,-2162.8818359375,0.1530139297246933,106
1481,-97.72711536567658,-62.511461189905276,-18.753334045410156,0.3667427599430084,16
1503,-97.47289196764359,-62.511461189905276,136.89688110351562,0.37701407074928284,22
1548,-97.02109915017536,-62.511461189905276,9.182546615600586,0.21857823431491852,45
1651,-97.9254525355783,-62.511461189905276,-545.5863037109375,0.07823866605758667,103
1749,-96.87820328585263,-62.511461189905276,-1174.6375732421875,0.05064541846513748,98
1777,-97.1265883721644,-62.511461189905276,-27.114192962646484,0.06625089794397354,28
1805,-100.15961502802793,-62.511461189905276,19.176162719726562,0.08745601773262024,28
1871,-92.60709608556363,-62.511461189905276,-439.4069519042969,0.03722178190946579,66
1897,-96.33851964352652,-62.511461189905276,-48.07461166381836,0.017263958230614662,26
1973,-92.61100518174499,-62.511461189905276,-432.6893005371094,0.022773558273911476,76
2001,-100.14850953702626,-62.511461189905276,-0.14403145015239716,0.015968933701515198,28
2149,-88.96492955979102,-62.511461189905276,320.2127380371094,0.08417446166276932,148
2220,-100.21827149323396,-62.511461189905276,-102.06671905517578,0.007392612285912037,71
2250,-97.66885492570964,-62.511461189905276,64.79528045654297,0.04508782550692558,30
2285,-91.73300086411473,-62.511461189905276,-102.60999298095703,0.009971145540475845,35
2458,-85.0878404195625,-62.511461189905276,730.0241088867188,0.028898797929286957,173
2555,-95.19389619601748,-62.511461189905276,65.43866729736328,0.004903305787593126,97
2647,-100.3002821961486,-62.511461189905276,-56.2784423828125,0.010517604649066925,92
2661,-100.0876746418653,-62.511461189905276,34.94868469238281,0.1975499987602234,14
2679,-98.34212803607807,-62.511461189905276,13.040964126586914,0.23347757756710052,18
2705,-96.69497495162068,-62.511461189905276,16.99480628967285,0.032983504235744476,26
2813,-92.17851634125479,-62.511461189905276,72.85935974121094,0.013987689279019833,108
2858,-97.00355679054246,-62.511461189905276,-79.3956069946289,0.035558514297008514,45
2882,-100.15025475307698,-62.511461189905276,-18.591394424438477,0.019992126151919365,24
2896,-100.10185775556602,-62.511461189905276,5.155842304229736,0.06538695842027664,14
2984,-95.63585857560543,-62.511461189905276,-33.196319580078125,0.0011813672026619315,88
3018,-100.17807111181173,-62.511461189905276,-21.713666915893555,0.006636062636971474,34
3040,-100.1241841178271,-62.511461189905276,-10.003410339355469,0.01255136076360941,22
3066,-98.5777383016175,-62.511461189905276,-22.689237594604492,0.021414250135421753,26
