time,step,iterations,episodes,training reward,episode steps,loss policy,loss critic,sigma,lr_policy
0.5553262233734131,100,1,0,,,-1.4916080236434937,0.00024835194926708937,0.5,0.0001
1.4987082481384277,108,2,1,0.0,108,0.7995195984840393,0.008254185318946838,0.5,0.0001
1.5974440574645996,208,3,1,,,-0.518288254737854,2.1088868379592896e-05,0.5,0.0001
1.6163930892944336,216,4,2,0.0,108,0.22787587344646454,0.0006202574004419148,0.5,0.0001
1.7031614780426025,270,5,3,0.03157457709312439,54,4.7291460037231445,0.0016619137022644281,0.5,0.0001
1.8557538986206055,370,6,3,,,0.35989952087402344,0.00013804050104226917,0.5,0.0001
1.9205803871154785,411,7,4,0.0,141,0.3703720271587372,0.0004817290755454451,0.5,0.0001
2.0292890071868896,480,8,5,0.0,69,1.248828649520874,0.00026731163961812854,0.5,0.0001
2.182878255844116,580,9,5,,,-3.3605334758758545,0.0038799229077994823,0.5,0.0001
2.221773862838745,600,10,6,0.0,120,1.4854168891906738,0.0010362510802224278,0.5,0.0001
2.336972951889038,669,11,7,0.14782661199569702,69,12.75348949432373,0.01436691079288721,0.5,0.0001
2.4968678951263428,767,12,8,0.0,98,-0.4132624864578247,0.0001410210970789194,0.5,0.0001
2.6615030765533447,867,13,8,,,0.8189018964767456,5.514909571502358e-05,0.5,0.0001
2.761915683746338,928,14,9,0.0,161,0.8349316120147705,0.00014637838467024267,0.5,0.0001
2.9191184043884277,1028,15,9,,,1.0598498582839966,4.514650936471298e-05,0.5,0.0001
2.9600090980529785,1053,16,10,0.0,125,-0.1343395859003067,9.909095388138667e-05,0.5,0.0001
3.1111578941345215,1141,17,11,0.0,88,-0.4308678209781647,0.0002152244414901361,0.5,0.0001
3.2727341651916504,1241,18,11,,,1.0664254426956177,1.675041494308971e-05,0.5,0.0001
3.418344736099243,1332,19,12,0.0,191,-0.22494646906852722,0.00012228974082972854,0.5,0.0001
3.548503875732422,1410,20,13,0.0,78,-0.7887609004974365,0.00020166409376543015,0.5,0.0001
3.6971065998077393,1506,21,14,0.08320263773202896,96,8.297375679016113,0.0023744856007397175,0.5,0.0001
3.848701000213623,1606,22,14,,,1.2386932373046875,5.693519051419571e-05,0.5,0.0001
4.004283905029297,1706,23,14,,,0.06885558366775513,1.488377802161267e-05,0.5,0.0001
4.160865545272827,1806,24,14,,,2.1231653690338135,0.00023539442918263376,0.5,0.0001
4.166849374771118,1807,25,15,0.0,301,-0.018050583079457283,0.007056250236928463,0.5,0.0001
4.323430299758911,1907,26,15,,,0.05452914908528328,4.3096166336908937e-05,0.5,0.0001
4.4909820556640625,2002,27,16,0.0,195,-0.9066860675811768,0.00012441609578672796,0.5,0.0001
4.646559238433838,2102,28,16,,,-0.5649204254150391,3.4302858693990856e-05,0.5,0.0001
4.74000096321106,2160,29,17,0.0,158,-1.203150749206543,5.650619277730584e-05,0.5,0.0001
4.894134283065796,2260,30,17,,,-0.6336793303489685,2.5512419597362168e-05,0.5,0.0001
4.986886739730835,2309,31,18,0.0,149,-0.011978049762547016,2.9153201467124745e-05,0.5,0.0001
5.1510772705078125,2409,32,18,,,-0.02062450721859932,1.2505111953942105e-05,0.5,0.0001
5.193962335586548,2433,33,19,0.0,124,-0.5837329626083374,0.0002121523575624451,0.5,0.0001
5.328248977661133,2522,34,20,0.0,89,-0.6987743973731995,2.751948341028765e-05,0.5,0.0001
5.4796531200408936,2622,35,20,,,-0.8834822177886963,3.4918542951345444e-05,0.5,0.0001
5.635236024856567,2720,36,21,0.0,198,-2.530128240585327,0.00010025194933405146,0.5,0.0001
5.78782844543457,2820,37,21,,,1.2805111408233643,0.00028357471455819905,0.5,0.0001
5.801791429519653,2826,38,22,0.17891767621040344,106,2.511789083480835,0.025187436491250992,0.5,0.0001
5.950898885726929,2926,39,22,,,2.384049654006958,0.0005782314692623913,0.5,0.0001
5.969849109649658,2935,40,23,0.0,109,-0.06609876453876495,6.688335997750983e-05,0.5,0.0001
6.127427339553833,3035,41,23,,,0.3816414475440979,2.221287832071539e-05,0.5,0.0001
6.25209379196167,3114,42,24,0.0,179,0.19614002108573914,0.00013719606795348227,0.5,0.0001
6.399699687957764,3214,43,24,,,-3.0146591663360596,0.0005174317047931254,0.5,0.0001
6.447571277618408,3242,44,25,0.0,128,0.377753347158432,0.0002449854218866676,0.5,0.0001
6.603154897689819,3342,45,25,,,1.5781930685043335,6.071667303331196e-05,0.5,0.0001
6.618114709854126,3349,46,26,0.09384304285049438,107,0.7074645161628723,0.0018731898162513971,0.5,0.0001
6.704882621765137,3409,47,27,0.16588875651359558,60,8.485629081726074,0.010938242077827454,0.5,0.0001
6.857204437255859,3509,48,27,,,-0.8921583294868469,0.0007344040204770863,0.5,0.0001
6.880143165588379,3520,49,28,0.0,111,0.24317412078380585,0.00029415826429612935,0.5,0.0001
7.033732175827026,3620,50,29,0.09151829779148102,100,8.246979713439941,0.001097129425033927,0.5,0.0001
7.180665493011475,3714,51,30,0.0,94,-9.020873069763184,0.002215499524027109,0.5,0.0001
7.343231439590454,3814,52,30,,,-0.7905147075653076,0.0001777431316440925,0.5,0.0001
7.3641746044158936,3824,53,31,0.0,110,-0.5757169127464294,0.0009406928438693285,0.5,0.0001
7.5097856521606445,3924,54,31,,,-0.713485836982727,0.00011538244871189818,0.5,0.0001
7.597550868988037,3983,55,32,0.0,159,-2.01200795173645,0.00047309655928984284,0.5,0.0001
7.744158744812012,4083,56,32,,,-3.375758409500122,0.00021817482775077224,0.5,0.0001
7.8124823570251465,4127,57,33,0.0,144,-1.7666559219360352,0.00039838667726144195,0.5,0.0001
7.921696901321411,4200,58,34,0.0,73,-4.324785232543945,0.0013340709265321493,0.5,0.0001
8.072800397872925,4300,59,34,,,-1.203186273574829,0.00031672162003815174,0.5,0.0001
8.124170303344727,4330,60,35,0.0,130,-1.0753333568572998,0.00013467167445924133,0.5,0.0001
8.274767875671387,4430,61,35,,,-0.9201348423957825,5.503444845089689e-05,0.5,0.0001
8.35256052017212,4480,62,36,0.0,150,-0.5120111703872681,8.45946415211074e-05,0.5,0.0001
8.437333583831787,4537,63,37,0.08298921585083008,57,2.7210161685943604,0.0012556245783343911,0.5,0.0001
8.555018424987793,4615,64,38,0.0,78,-2.2642624378204346,0.0004430375120136887,0.5,0.0001
8.705615758895874,4715,65,38,,,-0.9389001131057739,8.819021604722366e-05,0.5,0.0001
8.77642560005188,4761,66,39,0.0,146,1.1905343532562256,0.0008591183577664196,0.5,0.0001
8.917049407958984,4861,67,39,,,-0.431466668844223,0.00010585816926322877,0.5,0.0001
8.991848945617676,4906,68,40,0.0,145,-0.5843636393547058,0.000751387095078826,0.5,0.0001
9.13829779624939,4997,69,41,0.0872110053896904,91,6.140755653381348,0.0024272785522043705,0.5,0.0001
9.29871940612793,5097,70,41,,,-4.761244773864746,0.00013310635404195637,0.5,0.0001
9.362548351287842,5135,71,42,0.0,138,0.5849623084068298,0.0001318849972449243,0.5,0.0001
9.518707752227783,5235,72,42,,,-0.8796022534370422,3.748026938410476e-05,0.5,0.0001
9.605476379394531,5293,73,43,0.0,158,-0.9209257960319519,0.0004289739590603858,0.5,0.0001
9.754078149795532,5393,74,43,,,0.3250916600227356,8.14739632915007e-06,0.5,0.0001
9.819902181625366,5431,75,44,0.0,138,0.3820984661579132,5.0814753194572404e-05,0.5,0.0001
9.969502210617065,5527,76,45,0.0,96,3.3678908348083496,0.00021629831462632865,0.5,0.0001
10.130072116851807,5627,77,45,,,-2.8478522300720215,0.0008023930713534355,0.5,0.0001
10.15700078010559,5641,78,46,0.0,114,0.9241534471511841,0.0008765704696998,0.5,0.0001
10.312583923339844,5741,79,46,,,-4.184179782867432,0.0009117727749980986,0.5,0.0001
10.363447904586792,5773,80,47,0.0,132,0.9269266128540039,0.00015665334649384022,0.5,0.0001
10.511053323745728,5873,81,47,,,-0.06939490884542465,3.0005339795025066e-05,0.5,0.0001
10.597821235656738,5929,82,48,0.0,156,0.05534669756889343,5.702671842300333e-05,0.5,0.0001
10.745426654815674,6027,83,49,0.0,98,-2.8522756099700928,0.0003762058913707733,0.5,0.0001
10.897863149642944,6127,84,49,,,-0.45463454723358154,2.9945849746582098e-05,0.5,0.0001
10.929777383804321,6145,85,50,0.0,118,0.1440410315990448,2.580517866590526e-05,0.5,0.0001
11.083872318267822,6245,86,50,,,1.7662142515182495,0.00039995324914343655,0.5,0.0001
11.090853929519653,6246,87,51,0.0,101,-0.016874149441719055,0.0012244113022461534,0.5,0.0001
11.218021154403687,6329,88,52,0.0,83,-0.786121129989624,4.002180139650591e-05,0.5,0.0001
11.375599145889282,6429,89,52,,,-0.018953900784254074,6.677983765257522e-05,0.5,0.0001
11.433444499969482,6465,90,53,0.0,136,-0.6965619921684265,0.0006027441704645753,0.5,0.0001
11.517220735549927,6519,91,54,0.10317261517047882,54,4.428912162780762,0.0031284531578421593,0.5,0.0001
11.668815612792969,6619,92,54,,,1.065995454788208,0.000131084889289923,0.5,0.0001
11.680783033370972,6623,93,55,0.0,104,-0.0764370709657669,0.0001763745240168646,0.5,0.0001
11.82938551902771,6723,94,55,,,1.8031270503997803,0.0001748629001667723,0.5,0.0001
11.880249261856079,6754,95,56,0.0,131,-0.15600937604904175,0.00010301761358277872,0.5,0.0001
