step,training reward,validation reward,loss policy,loss critic,epsisode length
37,-97.00450512574389,-94.85782850091346,-773.5185546875,0.9015206098556519,37
198,-100.55973349390479,-94.85782850091346,-4102.54638671875,0.1847023218870163,161
228,-99.939874302705,-94.85782850091346,-380.2174377441406,1.4835835695266724,30
257,-100.11060208253912,-94.85782850091346,-475.6045227050781,1.3017983436584473,29
284,-100.07589648623252,-94.85782850091346,-387.0440368652344,1.441893219947815,27
325,-96.65689146067598,-94.85782850091346,-127.2190933227539,0.03186190500855446,41
416,-99.28237731824265,-94.85782850091346,-1512.7799072265625,0.2507645785808563,91
445,-100.10931301369055,-94.85782850091346,-36.584144592285156,0.01700000651180744,29
468,-100.11336558702169,-94.85782850091346,-353.46044921875,1.4026813507080078,23
496,-100.11318905680673,-94.85782850091346,-30.95258331298828,0.010055494494736195,28
535,-100.19213644732372,-94.85782850091346,-709.135986328125,0.6615873575210571,39
568,-100.09596728105907,-94.85782850091346,-233.78395080566406,0.8224502801895142,33
606,-99.00825607107254,-94.85782850091346,-40.094757080078125,0.01606285572052002,38
649,-96.88941200619229,-94.85782850091346,-809.4124755859375,0.4944019317626953,43
677,-98.9768735824182,-94.85782850091346,-20.687580108642578,0.010171626694500446,28
813,-82.8908495016949,-94.85782850091346,-23.54773712158203,0.0223715677857399,136
892,-98.24157035661665,-94.85782850091346,-24.260393142700195,0.02579542063176632,79
913,-100.01543829217553,-94.85782850091346,-203.2888946533203,1.005214810371399,21
939,-97.74767901903215,-94.85782850091346,-54.07304000854492,0.012527268379926682,26
1024,-96.94100743245963,-94.85782850091346,-1393.3304443359375,0.1742783784866333,85
1047,-97.48675508399901,-94.85782850091346,-3.0938832759857178,0.009189406409859657,23
1081,-97.37168307066895,-94.85782850091346,-366.9361572265625,0.5056433081626892,34
1104,-99.69048329444195,-94.85782850091346,-192.20445251464844,0.743186891078949,23
1155,-100.19271033180485,-94.85782850091346,-582.4171752929688,0.3234429359436035,51
1222,-100.21656249866987,-94.85782850091346,-820.3284301757812,0.23117393255233765,67
1251,-100.10902085190173,-94.85782850091346,-270.9388427734375,0.6041892170906067,29
1323,-92.82522826289642,-94.85782850091346,-37.82245635986328,0.016885636374354362,72
1348,-97.51883474068018,-94.85782850091346,-2.6560535430908203,0.01154925674200058,25
1484,-97.62393940950369,-94.85782850091346,239.6166534423828,0.025422723963856697,136
1559,-85.87515168928076,-94.85782850091346,-738.4481811523438,0.12621502578258514,75
1585,-100.0580270368664,-94.85782850091346,-259.3788146972656,0.5231293439865112,26
1614,-99.88169820829003,-94.85782850091346,-166.7164764404297,0.40384641289711,29
1660,-100.18072480753472,-94.85782850091346,27.564617156982422,0.01966496929526329,46
1704,-95.61736880822355,-94.85782850091346,-15.674681663513184,0.01630999520421028,44
1758,-95.24280837322294,-94.85782850091346,62.79432678222656,0.018552206456661224,54
1834,-99.84687629371683,-94.85782850091346,148.72132873535156,0.025991544127464294,76
1886,-100.16705889663717,-94.85782850091346,-409.55078125,0.19468924403190613,52
