Updates,Episodes,Time,Reward
0,0,4.76837158203125e-07,-541.83500673786
359,36,0.5164244174957275,-560.3106501738449
835,85,1.0761427879333496,-487.1700308409687
1289,134,1.6051089763641357,-482.11324217408253
1717,182,2.1064260005950928,-187.42818814660546
2102,223,2.549111843109131,-133.5201569030505
2499,264,2.9995362758636475,-243.47411231083294
3057,314,3.658452272415161,-761.78087691552
3817,372,4.575486421585083,-719.6779772116315
4619,441,5.49392557144165,-129.03212062983684
5288,494,6.275185823440552,-768.3825162470632
6130,581,7.248522996902466,-758.8246303182698
6833,651,8.061329126358032,-808.4780648548775
7566,713,8.95888614654541,-931.3357911743694
8424,787,9.983179807662964,-640.4941388737464
9186,861,10.8740873336792,-585.1039784135437
9924,934,11.754148244857788,-457.7424791329806
10636,1000,12.615234136581421,-801.3581408587779
11464,1071,13.633795499801636,-596.9106919450767
12046,1125,14.372895956039429,-364.68447877590637
12468,1163,14.921089172363281,-837.0660361002571
13158,1220,15.858920574188232,-720.1801457456497
14062,1300,17.009575366973877,-125.63393622678954
14423,1337,17.42944359779358,-148.51113866983215
14786,1370,17.908128023147583,-602.9107073974391
15197,1408,18.440170526504517,-845.2470698934161
15940,1474,19.40076494216919,-485.15927587587794
17114,1584,20.76830816268921,-272.4875188770413
17951,1662,21.759110689163208,-532.3220706721191
18537,1717,22.46062445640564,-726.1934900957414
19587,1813,23.736001014709473,-578.053679393721
20071,1861,24.331818103790283,-591.1316790949404
20571,1918,24.941444158554077,-624.2736185743937
21054,1966,25.56004571914673,-395.6224001926944
21546,2016,26.16232204437256,-529.0147610346318
22180,2081,26.97415804862976,-561.5903590719004
22645,2127,27.535682678222656,-904.8968267925766
23513,2208,28.577188730239868,-1279.9525316168342
24628,2322,29.86144232749939,-153.93457044797196
25002,2359,30.30643606185913,-134.60184753910596
25395,2397,30.769498348236084,-132.1268929838721
25842,2434,31.315369129180908,-679.8760581647624
26789,2520,32.454601526260376,-115.50759628946037
27593,2596,33.471989154815674,-1419.4498204068364
28410,2670,34.56702208518982,-669.8897393176044
28858,2712,35.183619022369385,-151.82129001532226
29377,2767,35.79447531700134,-148.29110643724553
29860,2818,36.398231506347656,-1243.9438309505579
31057,2939,37.827414751052856,-583.720105769897
31636,2996,38.51525807380676,-687.3186165903429
32333,3061,39.34344744682312,-1674.3377502253988
33354,3158,40.57584500312805,-544.1516572314209
34038,3218,41.41021394729614,-769.3213100669145
34776,3282,42.3306348323822,-1257.2117566275942
35688,3363,43.508538484573364,-861.2186917203735
36789,3475,44.86932063102722,-561.6209959719444
37461,3535,45.6995587348938,-1048.8493411258164
38426,3617,46.90946936607361,-708.0115300552945
39215,3690,47.864922523498535,-753.4202997336173
40019,3761,48.855104207992554,-5.989681733316676
42871,4030,52.28944945335388,-199.26215198252254
44079,4142,53.77659773826599,-1147.209986838983
45124,4235,55.06553602218628,-669.9773282652662
46007,4321,56.15905046463013,-1021.5736563604023
46912,4402,57.25348210334778,-825.7893287206834
47801,4484,58.34544539451599,-1137.3430147132208
48723,4563,59.48148846626282,-820.9964972459586
50455,4706,61.797529220581055,-873.0501842645683
51104,4754,62.911471366882324,-1528.563350785294
52234,4846,64.37784171104431,-1504.1743970282305
53388,4942,65.8897168636322,-159.36533994717325
57249,5263,70.8094208240509,-702.6163121133886
57941,5319,71.68743824958801,-1202.921738437136
60174,5504,74.48536109924316,-971.8164978385323
62263,5674,77.16280364990234,-272.76282144785193
66122,5995,81.95463466644287,-481.81941683624393
69917,6327,86.66041922569275,-1129.2113507575336
70896,6398,88.07545185089111,-1046.452627035859
71805,6467,89.37331986427307,-530.3421934022679
73166,6579,91.0683057308197,-857.9141031120425
74150,6657,92.30099534988403,-954.5704308195831
75367,6751,93.85399079322815,-464.03821398719856
78241,6966,97.79755711555481,-776.0102298389045
79564,7068,99.47414040565491,-562.5050202629292
80388,7131,100.53204894065857,-1038.4049893449842
81839,7241,102.39557147026062,-494.27063025970995
83455,7359,104.50150394439697,-771.6916343685675
86091,7537,107.99767684936523,-565.9057059536574
87184,7604,109.72440361976624,-839.7038440288434
88745,7715,111.77929496765137,-623.2313642944401
89776,7786,113.12666010856628,-625.7213315678811
91006,7874,114.74987959861755,-624.8668822771358
93159,8029,117.5558385848999,-492.0146177938083
94711,8138,119.59854412078857,-448.37531344650586
95939,8217,121.2451868057251,-685.1475750917514
97672,8326,123.63756275177002,-588.2599245870233
100133,8497,126.94945764541626,-571.9592409046269
101179,8563,128.35680413246155,-759.7357689667006
102901,8662,131.10044121742249,-705.9705583938672
104468,8758,133.4040539264679,-573.5322114282089
105480,8821,135.02445912361145,-384.4961168034109
106934,8914,137.03473043441772,-471.44293380056723
110030,9106,141.4119279384613,-630.8312785983646
110992,9152,143.17281007766724,-470.82068881411215
112137,9217,145.11978316307068,-299.8281953743091
115739,9447,150.01164388656616,-398.74525249133364
118152,9584,153.5123314857483,-464.2786358293062
119655,9664,155.8290503025055,-632.5355577653872
121452,9767,158.47206139564514,-289.4116835581838
122701,9846,160.2576265335083,-304.9148248192538
125073,9983,163.75238156318665,-442.9757265983384
126547,10073,165.89851665496826,-479.44080824447076
127929,10152,167.87570881843567,-685.7241030554751
129247,10220,170.0944402217865,-227.89667031340701
132340,10386,174.88815712928772,-313.27530487139217
134107,10489,177.754985332489,-311.93039728040105
135580,10565,180.34390997886658,-196.48214346896435
138407,10699,185.39790534973145,-268.069500148634
141462,10854,190.8365228176117,-189.05834888711684
144337,10988,196.3160903453827,-196.61875594200524
147419,11155,201.19087982177734,-134.3685350200798
150104,11288,205.97149324417114,-287.7507229434983
152937,11423,211.15841841697693,-166.72559138730975
155735,11549,216.62590098381042,-134.9286854709193
158970,11712,222.370707988739,-107.29729211251481
161367,11810,227.63346529006958,-94.7944229220406
164498,11947,233.91622972488403,-76.51943644046135
166969,12043,239.26765537261963,-69.87574198065184
169521,12154,244.755788564682,-77.50693762420708
172066,12247,250.75927257537842,-43.21578909657518
174440,12353,255.91120648384094,-63.640692353968916
176714,12438,261.29204297065735,-28.524093426289703
179092,12520,267.1136372089386,-47.69719086128332
181593,12612,273.22363686561584,-35.47235849407191
183588,12690,278.13884377479553,-40.167745196037146
185933,12793,283.59143352508545,-37.068246133169175
188261,12873,289.6417922973633,-36.11712057726583
191081,12980,296.1954417228699,-23.45549374380453
193501,13063,302.2391314506531,-28.03319143493679
196163,13170,308.5000538825989,-40.062116397196476
198545,13245,314.9314434528351,-10.567582940878953
201208,13345,321.4746069908142,-42.59902047105527
203518,13423,327.50747776031494,-40.79945883552414
206121,13503,334.36673951148987,-35.367288455767934
208486,13584,340.47194623947144,-49.685397764364794
210972,13650,347.2114043235779,-42.88905701472861
213778,13736,354.7165811061859,-28.5543974259915
216024,13790,361.72545647621155,-43.117352412012124
219028,13866,370.17750573158264,1.196823949110494
221223,13947,375.806428194046,-18.995867308544
223300,13998,382.16327834129333,-26.1485400542243
225373,14055,387.8604185581207,-19.61249893146633
227581,14109,394.30551528930664,-30.34191469128073
229704,14164,400.109099149704,-40.86394918396698
231956,14213,406.9757068157196,-19.2301414673586
234615,14285,414.3864495754242,-20.10041564231139
236947,14342,421.1063187122345,-23.207016628890607
239262,14391,427.86753153800964,-19.87031657705244
241814,14440,435.44878339767456,-13.247107723036075
244170,14485,442.6336898803711,-24.520227080069088
246125,14520,448.65834498405457,-19.228197598506227
248657,14581,455.6884489059448,-21.02682227954607
251756,14671,463.473610162735,-36.28562038777489
254856,14751,471.1412057876587,-47.97769766895993
257863,14828,478.7845034599304,-53.3307794422288
260491,14876,486.3650300502777,-50.68907635627856
263025,14914,494.4032506942749,-38.66112971638984
265718,14959,502.8715138435364,-13.946984544968902
268505,15018,510.9344551563263,-37.23251032448632
270913,15062,518.098310470581,-59.83065687236915
273941,15121,527.0353779792786,-53.45846963582608
276477,15176,533.6856474876404,-56.48307162087898
278911,15225,540.1086649894714,-60.42129279636843
281522,15277,546.8793702125549,-91.99235325282744
284475,15335,555.184229850769,-59.70349749317429
287017,15381,562.0095915794373,-67.98830158717453
290219,15439,570.3983268737793,-62.14076867288478
292985,15494,577.5690660476685,-75.55968553151259
296107,15553,586.1627218723297,-94.03780650751858
299091,15604,594.7174718379974,-44.40936706389071
301751,15661,601.3656384944916,-72.4838994754918
304859,15719,609.9525012969971,-35.44394588530726
307553,15770,616.7845160961151,-96.44334197117536
310245,15804,625.9410903453827,-32.405958908443424
313179,15861,633.8078844547272,-74.11296734291881
316201,15905,643.3700602054596,-45.122914241614545
319421,15964,651.904801607132,-71.59166025810279
321903,16003,659.5455403327942,-45.33720283643233
324939,16049,668.7325754165649,-23.86445654373626
327916,16097,677.2644324302673,-30.15400908753852
331157,16155,686.3638095855713,-24.087732202100046
334274,16209,695.1234517097473,-54.953575824086876
337397,16258,703.9772353172302,-23.417757552732667
340354,16310,712.6094350814819,-0.1385086891636817
343116,16354,720.5433158874512,-12.245399890053346
346260,16407,729.4514870643616,-20.02644149425955
349577,16456,738.9497570991516,-23.335461853526862
352421,16499,747.5479621887207,0.007398909323725711
355357,16543,756.1972553730011,-17.811453301028674
358266,16585,764.9053492546082,-12.222122652933209
361512,16636,774.0358471870422,0.7337094268720665
364433,16678,782.5382542610168,-17.876388012729983
367013,16711,790.2805337905884,-28.692246214448403
370327,16764,799.5111620426178,-1.3738522064306953
372952,16798,807.3586416244507,-13.16424748630315
376283,16843,817.0079679489136,3.748096588355948
379059,16880,825.4266843795776,14.872595660568383
382454,16932,834.7000370025635,23.56698129296378
385787,16980,844.2060039043427,13.00942952925422
389040,17024,853.8615007400513,20.670967441997938
392143,17070,862.8542399406433,5.592889259979017
395396,17111,872.2634115219116,27.86299214895559
398497,17152,881.6455814838409,34.14564755859347
401348,17188,890.1754698753357,5.20901684611942
404837,17234,900.0073683261871,29.3554282114545
407800,17267,909.0711190700531,22.664974696681487
411032,17308,918.8949394226074,37.3729606452631
414142,17345,928.4047546386719,14.95430287403197
417205,17379,937.8273797035217,34.5676417944579
420318,17420,946.7049698829651,47.071696174042295
423404,17456,955.9529368877411,48.278087525288555
426647,17496,965.3557844161987,39.80675608682125
429590,17528,974.4830451011658,26.4366989042785
432565,17564,983.5802857875824,41.97730298364877
436072,17604,993.5286364555359,33.20998413960856
439080,17637,1002.790242433548,47.82482835739242
442061,17672,1011.6226706504822,46.826194154032976
445344,17711,1020.8863563537598,28.881792559715315
448706,17749,1030.7371180057526,52.48557457892507
452145,17784,1040.709758758545,62.62987241653966
455307,17822,1049.570656299591,47.10422882148568
458756,17863,1059.3462674617767,56.099696170368645
461936,17903,1068.554259777069,61.32176952272988
464813,17936,1076.5754420757294,70.95713001527595
467937,17973,1085.568451166153,51.575899729885705
471810,18020,1095.77645277977,71.75680024328403
474844,18053,1104.4150121212006,62.197630492064945
477939,18088,1113.4735639095306,86.52115908287499
481285,18124,1123.0703616142273,61.03362289650302
484845,18163,1133.024566411972,80.36731552287975
487864,18197,1141.9654507637024,74.09179010226724
491258,18233,1151.2277245521545,85.62596198595676
494830,18273,1160.3914158344269,83.90465813038088
498041,18316,1168.392446756363,81.09149589334426
500005,18340,1178.0328705310822,79.96258419076234
