time,step,iterations,episodes,training reward,episode steps,loss policy,loss critic,sigma,lr_policy
0.5536885261535645,76,1,1,0.0,76,1.2077749967575073,0.00015411862113978714,0.5,0.0001
1.8751530647277832,130,2,2,0.09039299190044403,54,6.871801853179932,0.005445749498903751,0.5,0.0001
2.017784833908081,230,3,2,,,1.5895823240280151,0.00020129166659899056,0.5,0.0001
2.025763511657715,231,4,3,0.0,101,0.009565032087266445,0.00020939615205861628,0.5,0.0001
2.1279971599578857,300,5,4,0.0,69,0.5530751347541809,0.00043460357119329274,0.5,0.0001
2.288567543029785,400,6,4,,,1.5201796293258667,0.000397051393520087,0.5,0.0001
2.442157030105591,500,7,4,,,0.157008096575737,0.0005114714149385691,0.5,0.0001
2.471079111099243,515,8,5,0.0,215,0.1953720897436142,0.00019047257956117392,0.5,0.0001
2.621676445007324,615,9,5,,,0.9331923127174377,0.00020694978593382984,0.5,0.0001
2.721409320831299,682,10,6,0.0,167,1.0362449884414673,0.00014146740431897342,0.5,0.0001
2.8690152168273926,782,11,6,,,1.4181240797042847,6.043304892955348e-05,0.5,0.0001
2.969744920730591,846,12,7,0.0,164,-1.4967036247253418,0.0003063054464291781,0.5,0.0001
3.0590133666992188,903,13,8,0.0,57,-1.5905070304870605,0.0001465839595766738,0.5,0.0001
3.203627109527588,1003,14,8,,,0.3104709982872009,0.00017762654169928282,0.5,0.0001
3.22157883644104,1011,15,9,0.0,108,0.037417471408843994,0.00031816805130802095,0.5,0.0001
3.3741707801818848,1111,16,9,,,-0.3431153893470764,4.631227420759387e-05,0.5,0.0001
3.4219000339508057,1140,17,10,0.10122419893741608,129,4.25990629196167,0.012646352872252464,0.5,0.0001
3.5415802001953125,1216,18,11,0.0,76,0.24373003840446472,0.00035250699147582054,0.5,0.0001
3.63171648979187,1276,19,12,0.0,60,-0.7974140644073486,5.5071628594305366e-05,0.5,0.0001
3.783816337585449,1376,20,12,,,0.5181252956390381,6.179005868034437e-05,0.5,0.0001
3.914466381072998,1460,21,13,0.0,184,0.6962172389030457,3.4706426959019154e-05,0.5,0.0001
4.062071800231934,1560,22,13,,,0.12767139077186584,1.854628135333769e-05,0.5,0.0001
4.121911287307739,1599,23,14,0.12375308573246002,139,8.656237602233887,0.012784657068550587,0.5,0.0001
4.281484842300415,1699,24,15,0.0,100,0.5235586762428284,3.9071630453690886e-05,0.5,0.0001
4.437068462371826,1799,25,15,,,0.25970351696014404,0.00013969343854114413,0.5,0.0001
4.4869349002838135,1828,26,16,0.0,129,0.15344901382923126,0.00016680345288477838,0.5,0.0001
4.640524625778198,1928,27,16,,,0.6423801779747009,0.00017750174447428435,0.5,0.0001
4.77915358543396,2028,28,16,,,0.7419595718383789,7.486835238523781e-05,0.5,0.0001
4.9247636795043945,2128,29,16,,,-0.6664324402809143,0.0007938197813928127,0.5,0.0001
4.968646049499512,2154,30,17,0.0,326,0.20684093236923218,0.0006142210913822055,0.5,0.0001
5.110772609710693,2249,31,18,0.0,95,-3.1563870906829834,0.00020229695655871183,0.5,0.0001
5.2439234256744385,2337,32,19,0.20114092528820038,88,17.794763565063477,0.02149556763470173,0.5,0.0001
5.399507284164429,2437,33,19,,,-0.8323452472686768,5.367364065023139e-05,0.5,0.0001
5.549107074737549,2537,34,19,,,-1.0650980472564697,0.00010261983698001131,0.5,0.0001
5.6348772048950195,2597,35,20,0.0,260,-2.1662228107452393,0.000414122681831941,0.5,0.0001
5.774503946304321,2688,36,21,0.006150996778160334,91,-0.9731982946395874,0.00016992965538520366,0.5,0.0001
5.920114278793335,2788,37,21,,,0.22829607129096985,5.462390163302189e-06,0.5,0.0001
5.931084871292114,2792,38,22,0.0,104,-0.16662189364433289,0.0008208936778828502,0.5,0.0001
6.063730239868164,2879,39,23,0.0,87,-1.5318007469177246,0.00036071185604669154,0.5,0.0001
6.1699538230896,2946,40,24,0.21070007979869843,67,20.11412811279297,0.02470404841005802,0.5,0.0001
6.327532529830933,3046,41,24,,,-0.8303865194320679,5.3384275815915316e-05,0.5,0.0001
6.345484495162964,3054,42,25,0.0,108,-0.1652347892522812,0.0004268686461728066,0.5,0.0001
6.498076438903809,3154,43,25,,,-0.3345186114311218,1.9822566173388623e-05,0.5,0.0001
6.508049726486206,3158,44,26,0.0,104,-0.1677304059267044,0.00027204854995943606,0.5,0.0001
6.657157897949219,3258,45,26,,,-0.47199252247810364,6.811722414568067e-05,0.5,0.0001
6.714510917663574,3295,46,27,0.0,137,-0.9258832931518555,0.00018860414274968207,0.5,0.0001
6.860627174377441,3395,47,27,,,-0.16361114382743835,3.9462240238208324e-05,0.5,0.0001
6.916982650756836,3429,48,28,0.0,134,-0.17511719465255737,0.0001045019889716059,0.5,0.0001
7.066090822219849,3529,49,28,,,-1.1904414892196655,3.237895725760609e-05,0.5,0.0001
7.145877361297607,3584,50,29,0.0,155,-1.9689431190490723,8.729781256988645e-05,0.5,0.0001
7.299466609954834,3684,51,29,,,-1.1514815092086792,6.560976180480793e-05,0.5,0.0001
7.306447982788086,3685,52,30,0.3111547529697418,101,0.32522130012512207,0.07969581335783005,0.5,0.0001
7.4630286693573,3785,53,30,,,-0.9314345717430115,6.740655226167291e-05,0.5,0.0001
7.501924753189087,3809,54,31,0.0,124,-0.4355488121509552,0.00022732862271368504,0.5,0.0001
7.602655649185181,3879,55,32,0.21895956993103027,70,20.122852325439453,0.02304711565375328,0.5,0.0001
7.728319406509399,3968,56,33,0.0,89,-1.056012749671936,0.00025112248840741813,0.5,0.0001
7.880911111831665,4068,57,33,,,-0.9280741214752197,8.561232243664563e-05,0.5,0.0001
7.92878270149231,4099,58,34,0.0,131,-0.14004310965538025,0.00010727332846727222,0.5,0.0001
8.080377340316772,4199,59,34,,,0.008614993654191494,1.3775372281088494e-05,0.5,0.0001
8.106307983398438,4214,60,35,0.0,115,-0.02499115653336048,0.00011047599400626495,0.5,0.0001
8.259896993637085,4314,61,35,,,-1.0813549757003784,0.0001532785245217383,0.5,0.0001
8.3027822971344,4338,62,36,0.0,124,0.05515151470899582,2.3753465939080343e-05,0.5,0.0001
8.455520629882812,4438,63,36,,,-0.3797171413898468,3.148238829453476e-05,0.5,0.0001
8.478458881378174,4450,64,37,0.0,112,-0.12187694758176804,0.00012816399976145476,0.5,0.0001
8.584176063537598,4519,65,38,0.0,69,-3.185654640197754,0.0006808029720559716,0.5,0.0001
8.733775854110718,4619,66,38,,,-1.0877165794372559,0.00019495587912388146,0.5,0.0001
8.765690803527832,4639,67,39,0.0,120,0.5526943206787109,0.001680385204963386,0.5,0.0001
8.911301136016846,4739,68,39,,,-0.24045570194721222,0.00016688818868715316,0.5,0.0001
9.042948961257935,4823,69,40,0.0,184,-1.7926090955734253,0.00023372319992631674,0.5,0.0001
9.18357253074646,4923,70,40,,,0.6276870369911194,0.00017609357018955052,0.5,0.0001
9.340153694152832,5023,71,40,,,-0.3821810483932495,0.00020382495131343603,0.5,0.0001
9.438889980316162,5084,72,41,0.0,261,-1.0235540866851807,0.0010059616761282086,0.5,0.0001
9.54660153388977,5152,73,42,0.014440497383475304,68,-3.207960367202759,0.001485550543293357,0.5,0.0001
9.690217733383179,5252,74,42,,,0.042502645403146744,3.119417669950053e-05,0.5,0.0001
9.791944980621338,5320,75,43,0.0,168,-0.6752835512161255,0.00013056205352768302,0.5,0.0001
9.875229358673096,5371,76,44,0.08033242076635361,51,2.7304491996765137,0.0008252427214756608,0.5,0.0001
10.030321836471558,5471,77,44,,,0.7847011685371399,0.00018182292114943266,0.5,0.0001
10.053766012191772,5483,78,45,0.0,112,-0.6332954168319702,0.002297613536939025,0.5,0.0001
10.206863641738892,5583,79,45,,,-2.0618557929992676,0.0004404983774293214,0.5,0.0001
10.232794046401978,5597,80,46,0.0,114,0.1049727201461792,6.749371823389083e-05,0.5,0.0001
10.390373229980469,5697,81,46,,,0.3149915039539337,1.909720776893664e-05,0.5,0.0001
10.43226146697998,5720,82,47,0.0,123,-0.4723049998283386,0.00020556562230922282,0.5,0.0001
10.606794118881226,5820,83,47,,,0.8768399357795715,9.677202615421265e-05,0.5,0.0001
10.72946572303772,5890,84,48,0.0,170,-0.8907363414764404,5.417549982666969e-05,0.5,0.0001
10.882057189941406,5990,85,48,,,-0.6877487897872925,6.104567728471011e-05,0.5,0.0001
11.00772213935852,6068,86,49,0.0,178,-3.3550212383270264,0.0007270167698152363,0.5,0.0001
11.15732216835022,6168,87,49,,,0.07080266624689102,7.913625449873507e-05,0.5,0.0001
11.186243534088135,6182,88,50,0.0,114,-0.11290977150201797,4.0169197745854035e-05,0.5,0.0001
11.317891597747803,6263,89,51,0.0,81,-2.46160626411438,6.998244498390704e-05,0.5,0.0001
11.440563201904297,6334,90,52,0.048334550112485886,71,0.5786026120185852,0.0005119222914800048,0.5,0.0001
11.617090940475464,6434,91,52,,,0.38095325231552124,2.0477405996643938e-05,0.5,0.0001
11.712834358215332,6491,92,53,0.0,157,0.4556083679199219,0.00010520815703785047,0.5,0.0001
11.835506439208984,6565,93,54,0.0737968385219574,74,4.010509014129639,0.0025173998437821865,0.5,0.0001
12.003058671951294,6665,94,54,,,-0.1645878255367279,1.4837872186035383e-05,0.5,0.0001
12.0289888381958,6678,95,55,0.0,113,-0.26878371834754944,0.00013398837472777814,0.5,0.0001
12.191554307937622,6778,96,55,,,1.0757715702056885,6.707683496642858e-05,0.5,0.0001
12.214493036270142,6789,97,56,0.07921317964792252,111,0.6324883699417114,0.0025321482680737972,0.5,0.0001
12.382044553756714,6889,98,56,,,-2.0441646575927734,0.00042093178490176797,0.5,0.0001
12.394012928009033,6892,99,57,0.0,103,0.015870515257120132,5.8995556173613295e-05,0.5,0.0001
12.526657819747925,6967,100,58,0.07708282023668289,75,5.195170879364014,0.0010268522892147303,0.5,0.0001
12.702187776565552,7067,101,58,,,0.642874538898468,2.6505260393605568e-05,0.5,0.0001
12.741084337234497,7087,102,59,0.0,120,-0.23724746704101562,0.00017275451682507992,0.5,0.0001
12.897708654403687,7185,103,60,0.0,98,-1.5773481130599976,0.00022289110347628593,0.5,0.0001
13.068620204925537,7285,104,60,,,0.6926934123039246,1.991910903598182e-05,0.5,0.0001
13.089610576629639,7295,105,61,0.0,110,-0.16021333634853363,0.0008303581271320581,0.5,0.0001
13.243564367294312,7395,106,61,,,-0.8533409833908081,4.80044363939669e-05,0.5,0.0001
13.303537130355835,7430,107,62,0.0,135,-0.6580432057380676,1.4376275430549867e-05,0.5,0.0001
13.448462009429932,7522,108,63,0.0,92,-0.8305143117904663,0.0001936810731422156,0.5,0.0001
13.604384660720825,7622,109,63,,,0.32711270451545715,4.5424370910041034e-05,0.5,0.0001
13.631372451782227,7638,110,64,0.0,116,-0.345077782869339,6.610614218516275e-05,0.5,0.0001
13.780282974243164,7738,111,64,,,-0.04883602261543274,5.304071237333119e-06,0.5,0.0001
13.86970853805542,7795,112,65,0.0,157,-0.5590468645095825,4.9642821977613494e-05,0.5,0.0001
13.96894907951355,7860,113,66,0.18630526959896088,65,16.437896728515625,0.015913182869553566,0.5,0.0001
14.1015944480896,7949,114,67,0.0,89,-3.8228189945220947,0.0008837187197059393,0.5,0.0001
14.227258205413818,8030,115,68,0.0,81,-2.925882339477539,0.0005840714438818395,0.5,0.0001
14.386831760406494,8130,116,68,,,-0.7518684267997742,5.542528015212156e-05,0.5,0.0001
14.409769773483276,8142,117,69,0.0,112,0.003740243148058653,3.3911590435309336e-05,0.5,0.0001
14.5518958568573,8231,118,70,0.0,89,0.5222460031509399,0.00042035331716760993,0.5,0.0001
14.711973667144775,8331,119,70,,,-0.32516586780548096,6.0994647355983034e-05,0.5,0.0001
14.73790431022644,8345,120,71,0.0,114,0.030640635639429092,2.101579593727365e-05,0.5,0.0001
14.884020566940308,8445,121,71,,,-1.9631856679916382,0.0001735471741994843,0.5,0.0001
14.902970314025879,8454,122,72,0.0,109,0.2405976951122284,0.00041234184755012393,0.5,0.0001
15.049084424972534,8554,123,72,,,-0.4784896969795227,3.0569823138648644e-05,0.5,0.0001
15.09895133972168,8583,124,73,0.0,129,-1.7639431953430176,0.0010303303133696318,0.5,0.0001
15.255040645599365,8683,125,73,,,1.0281933546066284,3.4306074667256325e-05,0.5,0.0001
15.289947509765625,8701,126,74,0.0,118,0.18283143639564514,3.3387688745278865e-05,0.5,0.0001
15.447033643722534,8801,127,74,,,0.07904709875583649,3.957967783208005e-05,0.5,0.0001
15.463988542556763,8809,128,75,0.0,108,0.0028706907760351896,0.0002594093093648553,0.5,0.0001
15.5547456741333,8866,129,76,0.060351189225912094,57,1.7163963317871094,0.00022684400028083473,0.5,0.0001
15.634039402008057,8915,130,77,0.1178893893957138,49,2.9890477657318115,0.00383965065702796,0.5,0.0001
15.783147096633911,9015,131,77,,,0.022840389981865883,1.6938827684498392e-05,0.5,0.0001
15.820047616958618,9037,132,78,0.0,122,-0.5644997954368591,0.0005636996938847005,0.5,0.0001
15.969153642654419,9137,133,78,,,-0.003428123891353607,6.849766941741109e-05,0.5,0.0001
16.007052421569824,9159,134,79,0.257365882396698,122,2.89223575592041,0.03332000970840454,0.5,0.0001
16.164138078689575,9259,135,79,,,0.6876866817474365,8.879504093783908e-06,0.5,0.0001
16.32171654701233,9359,136,79,,,0.352451890707016,2.359817153774202e-05,0.5,0.0001
16.468830823898315,9459,137,79,,,-1.6900657415390015,0.00033358432119712234,0.5,0.0001
16.527673482894897,9494,138,80,0.0,335,-1.0019731521606445,0.0012209124397486448,0.5,0.0001
16.619933605194092,9552,139,81,0.08345270156860352,58,2.185427188873291,0.0001429680996807292,0.5,0.0001
16.779014587402344,9652,140,81,,,-0.12980446219444275,0.0001344582997262478,0.5,0.0001
16.87376070022583,9711,141,82,0.0,159,-3.3849852085113525,0.0012891615042462945,0.5,0.0001
17.000927686691284,9798,142,83,0.06160607933998108,87,-0.9504844546318054,9.606696403352544e-05,0.5,0.0001
17.15701675415039,9898,143,83,,,0.8011175990104675,0.00014034610649105161,0.5,0.0001
17.252760648727417,9959,144,84,0.0,161,-3.8863000869750977,0.0018982421606779099,0.5,0.0001
17.407853841781616,10059,145,84,,,0.13976092636585236,0.00014598737470805645,0.5,0.0001
17.57291865348816,10159,146,84,,,1.8802871704101562,0.0008185804472304881,0.5,0.0001
17.666667699813843,10218,147,85,0.0,259,-5.9737091064453125,0.0021852904465049505,0.5,0.0001
17.821759462356567,10318,148,85,,,0.686440110206604,0.00023739278549328446,0.5,0.0001
17.927982091903687,10385,149,86,0.0,167,-1.558372974395752,0.00029787883977405727,0.5,0.0001
18.047662258148193,10461,150,87,0.0,76,-4.231136798858643,0.00021471703075803816,0.5,0.0001
18.17582607269287,10544,151,88,0.0,83,2.081416606903076,0.00025381468003615737,0.5,0.0001
18.33490800857544,10644,152,88,,,0.5103324055671692,2.0132234567427076e-05,0.5,0.0001
18.429654598236084,10702,153,89,0.0,158,-0.0923563688993454,4.1638679249444976e-05,0.5,0.0001
18.58674144744873,10802,154,89,,,1.2170931100845337,0.00011825899127870798,0.5,0.0001
18.634121417999268,10830,155,90,0.0,128,-0.07000084221363068,2.9404136512312107e-05,0.5,0.0001
18.790701627731323,10930,156,90,,,-1.001791000366211,7.203257700894028e-05,0.5,0.0001
18.891937971115112,10994,157,91,0.0,164,0.8998985290527344,0.0006218480411916971,0.5,0.0001
19.002148151397705,11064,158,92,0.0,70,-1.6369761228561401,0.00013542751548811793,0.5,0.0001
19.15872883796692,11164,159,92,,,-1.113560676574707,0.00015336084470618516,0.5,0.0001
19.28888773918152,11245,160,93,0.0,181,0.5907901525497437,0.00011224214540561661,0.5,0.0001
19.452955961227417,11345,161,93,,,-2.793985366821289,0.00033783173421397805,0.5,0.0001
19.49883270263672,11371,162,94,0.0,126,0.8661863207817078,0.001015671994537115,0.5,0.0001
19.65691614151001,11471,163,94,,,3.199659585952759,0.0003948666562791914,0.5,0.0001
19.78208637237549,11548,164,95,0.2012438178062439,177,11.374018669128418,0.00985843874514103,0.5,0.0001
19.93866777420044,11648,165,95,,,-0.22542765736579895,0.0001959951187018305,0.5,0.0001
20.07081961631775,11733,166,96,0.0,185,-1.1197353601455688,0.000624330947175622,0.5,0.0001
20.225911378860474,11833,167,96,,,0.579616367816925,0.00010581839887890965,0.5,0.0001
20.35507082939148,11914,168,97,0.13483797013759613,181,10.67211627960205,0.0051947603933513165,0.5,0.0001
20.51065444946289,12014,169,97,,,1.9529350996017456,8.638075087219477e-05,0.5,0.0001
20.529111862182617,12022,170,98,0.3624359667301178,108,0.8629944324493408,0.06280819326639175,0.5,0.0001
20.688685178756714,12122,171,98,,,0.4436272382736206,2.339915772608947e-05,0.5,0.0001
