Updates,Episodes,Time,Reward
0,0,4.76837158203125e-07,-732.2643947159754
686,66,0.7702620029449463,-720.1477379370147
1449,139,1.5367162227630615,-485.2512156993015
1893,182,2.006596565246582,-562.570268215738
2317,225,2.4736316204071045,-562.127553603708
2741,273,2.933563232421875,-620.3195328893478
3221,326,3.4374523162841797,-1261.1581635235004
4167,421,4.368963956832886,-1475.8632220534164
5184,512,5.41923189163208,-948.6485663022604
5862,565,6.23150110244751,-687.1889440529117
6521,623,7.007598400115967,-544.5986853409096
6965,661,7.537743806838989,-612.3958583314072
7470,714,8.077118873596191,-534.5698454154108
7994,766,8.601451873779297,-574.3258900636292
8435,807,9.082826375961304,-539.2425546948159
8929,855,9.622635126113892,-466.808506273464
9305,887,10.067667961120605,-889.7245151884729
10245,972,11.082236766815186,-894.5452369381137
11048,1036,11.935590982437134,-525.1094990772069
11554,1091,12.443258047103882,-839.3136513450454
12353,1173,13.245826959609985,-935.7405263956647
13182,1256,14.103272199630737,-655.1068633436905
13704,1305,14.643721580505371,-506.31474891437654
14178,1353,15.11633586883545,-658.6150870083799
14808,1414,15.751022577285767,-606.1101921375474
15322,1467,16.273773670196533,-640.8758353663102
15828,1508,16.839439153671265,-534.2817704052293
16305,1549,17.385996103286743,-787.2158775735134
17050,1612,18.186151266098022,-579.5914228464513
17532,1655,18.71894598007202,-669.7232970094622
18350,1725,19.55724310874939,-955.8446254945532
19085,1790,20.31771755218506,-806.5477490875963
20012,1869,21.294241189956665,-921.6097804003872
20831,1946,22.17214822769165,-643.91579891278
21435,2005,22.812355279922485,-342.67783500590565
21901,2051,23.283218145370483,-751.7220612134973
22648,2125,24.06565284729004,-555.4697393669976
23074,2163,24.542160749435425,-729.4355964711724
23911,2232,25.42425036430359,-768.5182009883717
24664,2294,26.22345280647278,-418.97290439659247
25175,2346,26.747408151626587,-1166.8837326294629
26060,2432,27.64584231376648,-596.3518959312491
26549,2481,28.182552337646484,-555.687115055409
27077,2531,28.732059240341187,-611.048462034037
27492,2574,29.182265758514404,-1123.2954268872409
28836,2696,30.564391613006592,-742.3064552345286
29623,2764,31.390928506851196,-743.2394717683317
30684,2862,32.6127815246582,-641.5317752978676
31326,2919,33.3931884765625,-536.156277248632
31753,2961,33.85666871070862,-1401.6208698563737
32991,3079,35.227330923080444,-529.3742260336369
33480,3127,35.75568509101868,-588.3759639391096
33976,3179,36.29005670547485,-506.81311089657373
34505,3230,36.8192458152771,-484.8333933482596
34996,3275,37.33070755004883,-1670.9049067236888
36127,3377,38.54335594177246,-585.688772440464
36607,3428,39.01975345611572,-437.6429974515601
37094,3471,39.55986261367798,-518.3718324643766
37533,3513,40.06654739379883,-237.4349890130446
38011,3551,40.623189210891724,-709.2356585882353
38593,3595,41.31936812400818,-715.1372418145601
39927,3732,42.73580193519592,-151.08018882212517
40452,3784,43.28507971763611,-344.29584027442826
41007,3841,43.83716535568237,-169.49108511435375
41560,3890,44.41620135307312,-597.076573263501
42113,3944,44.97912406921387,-331.05511553922156
42623,3989,45.53406548500061,-628.6793721788301
43232,4046,46.15508508682251,-484.68497197457157
43713,4091,46.68398928642273,-417.80837105742813
44172,4131,47.207982301712036,-522.4833924525448
44705,4173,47.852887868881226,-941.3667662210976
45434,4242,48.68860340118408,-937.5289776378906
46346,4326,49.632869482040405,-625.6015916417346
46884,4373,50.22964096069336,-300.3448047100471
47445,4435,50.78307867050171,-568.2653278281018
47908,4482,51.27668213844299,-185.29007872140198
48467,4529,51.882150411605835,-595.7926587767331
48996,4578,52.458210468292236,-216.10210715169228
49653,4640,53.12589383125305,-422.107283825478
50660,4740,54.20272374153137,-371.46250370166956
