Updates,Episodes,Time,Reward
0,0,9.5367431640625e-07,-508.86910757544774
486,44,0.6780438423156738,-790.4058046555958
1240,112,1.454408884048462,-1289.8986262789379
2393,210,2.6381640434265137,-791.2422986288874
3256,292,3.4909403324127197,-234.69929832233385
3694,334,3.9429376125335693,-121.73022927030445
4147,377,4.40600061416626,-904.7831318693054
4960,449,5.218323469161987,-564.5097558647487
5511,503,5.750495672225952,-730.8636050295322
6283,571,6.539897441864014,-858.1114884744402
7078,643,7.351203203201294,-510.7352729344345
7459,676,7.7839319705963135,-480.09840910179065
7927,722,8.276099681854248,-566.3810764950982
8413,769,8.773650646209717,-648.3165984374382
8916,818,9.328409194946289,-1022.4555043582529
9717,888,10.162664651870728,-134.4816380021382
10020,920,10.491418600082397,-139.20479588128472
10401,953,10.928048372268677,-680.2303698463405
11161,1023,11.722275972366333,-747.5883314226302
11928,1093,12.550943613052368,-1078.3913076435165
12818,1169,13.501677989959717,-830.0285060801789
13610,1238,14.359402894973755,-746.4895185324021
14408,1313,15.172674894332886,-781.7248718152542
15066,1363,15.892029285430908,-1260.9522515880642
16194,1459,17.045178174972534,-1007.2883185693441
17104,1540,18.018514394760132,-871.6472063264758
17861,1611,18.80827832221985,-838.2568927526688
18717,1685,19.68835139274597,-1205.8205411499064
19659,1767,20.756004571914673,-736.015297921436
20522,1844,21.64747166633606,-833.030245847116
21260,1916,22.44529962539673,-788.9812759895457
21963,1977,23.219063758850098,-676.4212928325321
22741,2048,24.016496896743774,-740.7580365715972
23433,2114,24.74613881111145,-123.75710451334382
23856,2160,25.142632246017456,-125.93493295329654
24395,2208,25.65912961959839,-695.6600993326233
25112,2266,26.432710647583008,-138.3165478510294
25511,2304,26.84469509124756,-944.6339999150144
26371,2375,27.741785049438477,-919.0022231677009
27172,2445,28.6041157245636,-1265.4637153058961
28259,2538,29.722373962402344,-876.5747698408198
29022,2614,30.539628744125366,-1053.4204971700995
29972,2689,31.532266855239868,-832.1598250109034
30789,2764,32.3656210899353,-305.05192547398684
31309,2812,32.92125415802002,-694.3764142314617
32067,2881,33.69975447654724,-794.393056782527
32907,2954,34.579222679138184,-675.9279860624771
33586,3019,35.28741669654846,-675.2349700104972
34301,3088,36.011624574661255,-903.2241818002127
35205,3174,36.95830583572388,-781.1608476465976
36004,3249,37.794164180755615,-602.9716930402793
36727,3313,38.509090185165405,-640.2177479969284
37514,3384,39.31595206260681,-670.9879768487662
38525,3475,40.30811929702759,-1017.549963668672
39433,3555,41.27470278739929,-907.6060779246033
40225,3624,42.103187561035156,-458.39293246765465
40681,3664,42.60118913650513,-139.02373105773705
41209,3713,43.15957522392273,-1107.4382171099533
42415,3825,44.40767192840576,-138.1498326279519
42987,3877,45.03947973251343,-1177.6558122706792
44126,3977,46.256383419036865,-595.8211192622576
44939,4056,47.08508896827698,-885.1098511283074
45787,4135,47.9954149723053,-412.99222597660753
46459,4195,48.664666175842285,-660.3384511061072
47298,4265,49.5451385974884,-1149.7070132296813
48484,4367,50.788525104522705,-220.99069925147757
49426,4448,51.75543451309204,-648.4266744607582
50406,4540,52.740288972854614,-813.4165903414478
51312,4623,53.68079233169556,-777.1823172273314
52224,4703,54.60593914985657,-146.37314309559923
52598,4742,54.97511959075928,-1039.7134448131137
53533,4830,55.96366047859192,-73.37298984110329
54076,4878,56.539326906204224,-225.11909551972218
54641,4929,57.12323188781738,-1175.6504955363666
55742,5029,58.3450243473053,-804.1850787888263
56574,5103,59.18413758277893,-895.1503576631645
57586,5192,60.18485641479492,-678.5319176755958
58401,5264,60.98932862281799,-200.8009096009106
59022,5312,61.64222192764282,-381.15643971088485
59691,5365,62.366262912750244,-1256.5756655649504
60641,5441,63.50007772445679,-413.7661652766368
61470,5514,64.4270191192627,-782.2537506149739
62438,5591,65.47743201255798,-417.1420386967485
63280,5667,66.4194233417511,-492.3315428004118
64472,5774,67.63509345054626,-605.2292386130849
65214,5835,68.42361903190613,-847.9092496805008
66310,5934,69.53948545455933,-1264.5487296981642
67491,6029,70.87654447555542,-944.3587307782549
68577,6116,72.07830715179443,-724.5307458683071
69445,6190,72.99554133415222,-1451.5199011634088
70391,6269,73.99466633796692,-1022.8058681815837
71354,6336,75.14401888847351,-610.2956090166922
72451,6421,76.32935070991516,-987.2348049746464
73630,6526,77.50066113471985,-591.5084603911307
74499,6604,78.42237663269043,-1077.2874274981918
75317,6672,79.27213454246521,-331.53383788603486
76018,6733,80.0014135837555,-303.52191798776386
76652,6786,80.66641187667847,-583.1468772566125
77441,6849,81.48607468605042,-1284.6564351262894
78630,6948,82.71614027023315,-789.8131435179552
79571,7021,83.74813580513,-504.8468159533751
80331,7078,84.6211347579956,-807.9306323573076
81845,7204,86.21060824394226,-1481.2343251562636
83029,7296,87.57699584960938,-689.9873308691386
84010,7376,88.62621068954468,-386.65090481693426
84959,7454,89.6200840473175,-507.5610148249455
85970,7544,90.62249231338501,-467.16151694803557
86710,7607,91.440425157547,-810.990500955497
87594,7677,92.38234186172485,-1304.6504095663877
88734,7765,93.61560893058777,-815.3852306441794
89838,7856,94.834059715271,-1521.8574511192742
90801,7931,95.86608242988586,-1243.464212967439
92003,8030,97.13079953193665,-1279.4046384965939
93403,8148,98.60502362251282,-472.30948446372906
94306,8221,99.60812997817993,-824.9546814101686
94989,8283,100.31917190551758,-857.7236158914186
95859,8355,101.21584939956665,-783.8358489042421
97758,8512,103.20323467254639,-425.3885420620016
98848,8603,104.40795469284058,-1122.1341858621322
99503,8656,105.13678574562073,-703.0028724711008
100604,8730,106.45232605934143,-572.5340638128507
101691,8817,107.56213045120239,-1177.91529986132
102562,8891,108.45041275024414,-964.475124877051
103740,8993,109.71128225326538,-1666.1274088206542
104690,9069,110.72368574142456,-299.9980435810919
105498,9136,111.5785779953003,-764.9733351059527
106175,9188,112.33457064628601,-446.73868804609265
108163,9349,114.40877413749695,-519.7333124572017
108952,9410,115.24210596084595,-674.0131298368965
109873,9486,116.19450402259827,-603.0745716132893
111185,9599,117.58746433258057,-782.6052973303024
112107,9674,118.59271168708801,-994.250454733613
112943,9736,119.50579857826233,-331.05724027003015
113960,9816,120.64212727546692,-1278.286922868681
114986,9895,121.76407313346863,-482.4441589944968
116238,9993,123.0640344619751,-994.780900470103
117701,10108,124.6477119922638,-648.2927785101967
119059,10219,126.04798626899719,-214.91567703434984
119791,10272,126.82033061981201,-658.3162513698392
121067,10370,128.11667251586914,-1206.142830276637
121912,10442,129.01874470710754,-1073.515187043377
122891,10519,130.04926586151123,-858.6664794148186
123756,10586,130.97068309783936,-258.36247065015715
124392,10635,131.63662242889404,-562.1886393332663
125351,10715,132.61814546585083,-829.016467669929
126531,10807,133.8728814125061,-395.3360788726899
128195,10951,135.59914088249207,-1285.490214929485
129228,11033,136.70784902572632,-507.83538991436
130457,11121,138.06324219703674,-675.9061600783491
130999,11164,138.69193410873413,-438.41837242028424
132181,11259,139.9516830444336,-1017.1418987561188
133085,11326,140.92678928375244,-928.4512990507201
133769,11381,141.66767692565918,-194.58923750415303
134526,11440,142.48156595230103,-292.22152717648777
135994,11562,143.9500412940979,-832.7726531720048
136828,11629,144.84906435012817,-676.0505977228362
137834,11713,145.91774344444275,-1402.6501025577295
138971,11803,147.10416316986084,-274.6160933431621
139718,11862,147.89814400672913,-298.94522638110595
141794,12039,149.95512795448303,-666.502791897722
142644,12107,150.8434112071991,-726.7760455979288
143264,12159,151.48836398124695,-298.36955273912986
144448,12255,152.68983936309814,-689.7486008475325
145445,12337,153.77244234085083,-233.21472517608845
146176,12395,154.51835775375366,-701.2943682313122
147055,12467,155.45708990097046,-1049.3923172862974
147882,12531,156.36031126976013,-690.334854693366
148550,12589,157.0703055858612,-265.40168130422063
149471,12657,158.08164501190186,-207.73926494808688
150401,12736,159.05513978004456,-349.3377347610215
152133,12875,160.8724091053009,-1064.8730676933246
152854,12924,161.81145763397217,-501.2865600381271
153698,12992,162.8296673297882,-252.5765125659945
154453,13053,163.68095135688782,-914.2256099759297
155288,13124,164.60411882400513,-201.926191298925
155951,13180,165.28276371955872,-173.9481644486304
156658,13239,165.98642349243164,-575.6327977477948
157984,13330,167.5157699584961,-902.8609322458017
158877,13402,168.44963002204895,-699.6667621789388
159619,13454,169.27352643013,-424.63195823887264
160877,13553,170.6440908908844,-243.47272126982725
161589,13612,171.37505841255188,-323.46253115909406
162400,13667,172.33006477355957,-482.43363931218244
