step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
37,-100.18751065287506,-92.80817124155874,-1438.368408203125,6.973376274108887,37,0.5,0.0001
80,-95.0103866042482,-92.80817124155874,-514.5114135742188,0.5035622119903564,43,0.4999999701976776,0.0001
177,-100.32725399398623,-92.80817124155874,-2934.020263671875,0.7929893732070923,97,0.49999988079071045,0.0001
202,-97.92773801643747,-92.80817124155874,-735.6427001953125,7.046506404876709,25,0.49999985098838806,0.0001
233,-100.15955558328642,-92.80817124155874,-931.7356567382812,6.234241008758545,31,0.4999997913837433,0.0001
333,-89.24581304883395,-92.80817124155874,-4757.216796875,1.4318174123764038,100,0.4999995529651642,0.0001
371,-96.82902986663976,-92.80817124155874,-1048.41259765625,4.385953426361084,38,0.499999463558197,0.0001
407,-100.17500418222335,-92.80817124155874,-988.8038940429688,4.747727870941162,36,0.49999934434890747,0.0001
556,-81.9895538593064,-92.80817124155874,-8854.7783203125,1.151538372039795,149,0.4999987781047821,0.0001
584,-97.65874384634662,-92.80817124155874,-194.8742218017578,0.3676610589027405,28,0.49999865889549255,0.0001
630,-95.2412438492247,-92.80817124155874,-551.991455078125,0.3676135838031769,46,0.49999842047691345,0.0001
700,-100.31878792088037,-92.80817124155874,-3356.15380859375,2.73684024810791,70,0.4999980628490448,0.0001
737,-96.4067501098616,-92.80817124155874,-1345.9559326171875,4.101253986358643,37,0.4999978542327881,0.0001
763,-100.12677895429078,-92.80817124155874,-195.62730407714844,0.509770393371582,26,0.49999770522117615,0.0001
808,-94.8399538671365,-92.80817124155874,-1877.93017578125,3.5838520526885986,45,0.49999743700027466,0.0001
836,-97.67693444422912,-92.80817124155874,-184.45033264160156,0.3421053886413574,28,0.49999722838401794,0.0001
864,-97.95966288303316,-92.80817124155874,-862.5552978515625,6.370326042175293,28,0.4999970495700836,0.0001
899,-96.52156156321871,-92.80817124155874,-263.19049072265625,0.34947603940963745,35,0.4999968111515045,0.0001
933,-97.30326003508162,-92.80817124155874,-850.90478515625,4.573390483856201,34,0.4999965727329254,0.0001
990,-95.98514534905553,-92.80817124155874,-831.1174926757812,0.417381227016449,57,0.4999961256980896,0.0001
1015,-98.0809726784064,-92.80817124155874,-561.6969604492188,7.203824043273926,25,0.4999959468841553,0.0001
1075,-94.46093243956784,-92.80817124155874,-916.1755981445312,0.32818880677223206,60,0.4999954402446747,0.0001
1113,-99.89923442580039,-92.80817124155874,-941.475830078125,3.694615364074707,38,0.4999951124191284,0.0001
1140,-100.131346847862,-92.80817124155874,-562.8756713867188,6.417844772338867,27,0.4999948740005493,0.0001
1175,-97.00322370079812,-92.80817124155874,-880.1725463867188,3.8058977127075195,35,0.49999454617500305,0.0001
1212,-96.76930821278074,-92.80817124155874,-282.844482421875,0.23598383367061615,37,0.4999941885471344,0.0001
1239,-100.12394960480742,-92.80817124155874,-533.5481567382812,5.619221210479736,27,0.4999939501285553,0.0001
1275,-96.51458016707329,-92.80817124155874,-897.967529296875,3.2323107719421387,36,0.49999359250068665,0.0001
1525,28.600929153970355,-92.80817124155874,5399.9306640625,0.04132018983364105,250,0.4999908208847046,0.0001
1603,-91.80232469618204,-92.80817124155874,-2874.684326171875,2.2458550930023193,78,0.4999898672103882,0.0001
1708,-89.30634437230765,-92.80817124155874,-2555.13037109375,0.24969694018363953,105,0.49998849630355835,0.0001
1788,-100.23177151521668,-92.80817124155874,-3611.2275390625,1.8822087049484253,80,0.49998739361763,0.0001
1990,-97.13634192847206,-92.80817124155874,-7261.28759765625,0.20600321888923645,202,0.49998435378074646,0.0001
2027,-99.86600172147155,-92.80817124155874,-235.61842346191406,0.205428808927536,37,0.4999837875366211,0.0001
2052,-100.1211925635289,-92.80817124155874,-126.8330078125,0.16285169124603271,25,0.49998337030410767,0.0001
2118,-100.2824396960641,-92.80817124155874,-2145.841796875,2.3457279205322266,66,0.4999822974205017,0.0001
2149,-97.28061490822438,-92.80817124155874,-383.5445861816406,3.9461145401000977,31,0.49998176097869873,0.0001
2178,-97.0970520011324,-92.80817124155874,-113.58466339111328,0.08370491862297058,29,0.4999812841415405,0.0001
2208,-96.97278372258006,-92.80817124155874,-584.0693359375,3.657529830932617,30,0.49998074769973755,0.0001
2233,-98.05853454928729,-92.80817124155874,-683.018310546875,5.547057151794434,25,0.49998030066490173,0.0001
2305,-100.2323751088411,-92.80817124155874,-2723.51806640625,1.9794795513153076,72,0.49997901916503906,0.0001
2368,-99.36329592231777,-92.80817124155874,-2813.150634765625,2.0423836708068848,63,0.49997785687446594,0.0001
2456,-100.44432964209409,-92.80817124155874,-3430.29443359375,1.6777245998382568,88,0.49997618794441223,0.0001
2485,-100.13336075603729,-92.80817124155874,-758.5276489257812,4.348659992218018,29,0.49997562170028687,0.0001
2509,-100.12721213919576,-92.80817124155874,-63.252201080322266,0.0316297747194767,24,0.49997514486312866,0.0001
2553,-100.03476298303576,-92.80817124155874,-908.6156616210938,2.1503946781158447,44,0.4999742805957794,0.0001
2614,-93.87011007390174,-92.80817124155874,-562.1644287109375,0.09069270640611649,61,0.49997302889823914,0.0001
2640,-96.72751243984294,-92.80817124155874,-31.34610939025879,0.01954706385731697,26,0.49997249245643616,0.0001
2680,-97.15906229777102,-92.80817124155874,-895.5477905273438,2.349821090698242,40,0.4999716579914093,0.0001
2704,-100.12373838073108,-92.80817124155874,-62.62139129638672,0.03080526366829872,24,0.4999711215496063,0.0001
2737,-98.89022275850584,-92.80817124155874,-96.70708465576172,0.048270776867866516,33,0.4999704360961914,0.0001
2781,-100.20197089727844,-92.80817124155874,-391.9790954589844,0.14935222268104553,44,0.499969482421875,0.0001
2986,-100.70645149249503,-92.80817124155874,-6867.2275390625,0.14277800917625427,205,0.49996480345726013,0.0001
3068,-93.30303571878176,-92.80817124155874,-1238.9395751953125,0.16186505556106567,82,0.49996283650398254,0.0001
3119,-100.18379808542159,-92.80817124155874,-389.1594543457031,0.16415446996688843,51,0.49996158480644226,0.0001
3153,-96.49769617349375,-92.80817124155874,-101.50788116455078,0.04488026350736618,34,0.4999607503414154,0.0001
3178,-100.12033226151834,-92.80817124155874,-40.72022247314453,0.012306168675422668,25,0.49996012449264526,0.0001
3248,-92.0728177453966,-92.80817124155874,-915.7125854492188,0.15121103823184967,70,0.4999583661556244,0.0001
3277,-98.4987512868247,-92.80817124155874,-681.510986328125,3.8380415439605713,29,0.4999576210975647,0.0001
